FID,port_id,data_src_c,port_coor_,the_geom
portlocations.746,SEKOG,2108,6,POINT (59.504699707 16.0073242190001)
portlocations.747,EEKND,2109,6,POINT (59.519104004 26.551086426)
portlocations.748,SEVST,2108,6,POINT (59.6022949220001 16.5473022460001)
portlocations.749,NOSAU,5106,6,POINT (59.6456909180001 6.35791015600006)
portlocations.750,SEKPS,2109,1,POINT (59.7238769530001 19.06427002)
portlocations.751,NODRM,2108,8,POINT (59.7341308590001 10.233520508)
portlocations.752,SENOE,2108,6,POINT (59.7576904300001 18.714477539)
portlocations.753,FIHKO,2110,1,POINT (59.819702148 22.9633178710001)
portlocations.754,FIKVH,2109,6,POINT (59.878295898 23.225708008)
portlocations.755,NOOSL,2108,1,POINT (59.908508301 10.7185058590001)
portlocations.756,FIINK,2108,6,POINT (60.043273926 24.0087280270001)
portlocations.757,FIMHQ,2108,1,POINT (60.0858764650001 19.931274414)
portlocations.758,SEGRH,9998,1,POINT (60.0988769530001 18.817504883)
portlocations.759,FIHEL,2110,1,POINT (60.1556475 24.9235630000001)
portlocations.760,SEHAN,5106,6,POINT (60.1701049800001 18.482727051)
portlocations.761,FIECK,2108,1,POINT (60.1962890620001 19.61730957)
portlocations.762,FIPAR,2108,6,POINT (60.2968750000001 22.3038940430001)
portlocations.763,FISKV,9998,1,POINT (60.3077240000001 25.5526275)
portlocations.764,NOBGO,2109,1,POINT (60.3950385000001 5.30825000000004)
portlocations.765,FILOV,2110,2,POINT (60.4100952150001 26.258911133)
portlocations.766,FITKU,2110,1,POINT (60.4346923830001 22.2175292970001)
portlocations.767,FINLI,2109,1,POINT (60.4650878910001 22.0150756840001)
portlocations.768,FIKTK,2110,1,POINT (60.4724679340001 26.950806679)
portlocations.769,FIHMN,5106,5,POINT (60.5629272460001 27.1945190430001)
portlocations.770,SESSR,2108,8,POINT (60.6467285160001 17.3934936520001)
portlocations.771,SEGVX,2110,4,POINT (60.6918945310001 17.225891113)
portlocations.772,FIUKI,2109,6,POINT (60.7958984370001 21.3789062500001)
portlocations.773,SENOT,5106,6,POINT (60.9375000000001 17.1508789060001)
portlocations.774,FIRAU,2110,3,POINT (61.1276855470001 21.4774780270001)
portlocations.775,SESOO,5106,7,POINT (61.3084716800001 17.1022949220001)
