FID,port_id,data_src_c,port_coor_,the_geom
portlocations.174,TRGEL,2109,6,POINT (40.4169062670001 26.6834163570001)
portlocations.175,TRGEM,2109,6,POINT (40.4333333330001 29.1666666670001)
portlocations.176,TRMRA,9998,8,POINT (40.586780633 27.550456598)
portlocations.177,TRYAL,2109,6,POINT (40.658157223 29.26862313)
portlocations.178,TRENE,2109,6,POINT (40.7333333330001 26.1)
portlocations.179,TRIZT,2109,6,POINT (40.766666667 29.9166666670001)
portlocations.180,TRSUR,9998,8,POINT (40.9128003590001 40.122163067)
portlocations.181,TRGIR,2109,6,POINT (40.926130442 38.389042854)
portlocations.182,TRAMB,9998,8,POINT (40.9686632 28.6832667370001)
portlocations.183,TRTEK,2109,6,POINT (40.9720722100001 27.5120936220001)
portlocations.184,TRORD,2109,6,POINT (40.9985558440001 37.8770162260001)
portlocations.185,TRTZX,2109,6,POINT (41.0000000000001 39.7333333330001)
portlocations.186,TRTIR,2109,6,POINT (41.009681997 38.8150504290001)
portlocations.187,TRIST,2109,6,POINT (41.016666667 28.966666667)
portlocations.188,TRVAK,2107,6,POINT (41.033333333 39.266666667)
portlocations.189,TRGOR,2109,6,POINT (41.0391349980001 38.997684328)
portlocations.190,TRRIZ,2109,8,POINT (41.039933401 40.5066355860001)
portlocations.191,TRFAS,2109,6,POINT (41.0494402140001 37.4820892880001)
portlocations.192,TRSIL,2109,6,POINT (41.06758361 28.250920497)
portlocations.193,TRUNY,2109,5,POINT (41.1365877210001 37.2933615760001)
portlocations.194,TRKFK,2109,7,POINT (41.1632689520001 30.2117280250001)
portlocations.195,TRPZR,2107,6,POINT (41.1666666670001 40.8833333330001)
portlocations.196,TRSLE,2109,5,POINT (41.1797679540001 29.6083198950001)
portlocations.197,ESVLG,2107,4,POINT (41.2166264140001 1.73502865000006)
portlocations.198,ESVCC,2111,3,POINT (41.236730827 1.86590597000003)
portlocations.199,TRERE,2109,6,POINT (41.3000000000001 31.4333333330001)
portlocations.200,TRSSX,2109,6,POINT (41.3048372170001 36.340630639)
portlocations.201,TRHOP,2109,6,POINT (41.4161713670001 41.4346749150001)
portlocations.202,TRZON,2109,6,POINT (41.464915149 31.789170987)
portlocations.203,TRBTN,2109,6,POINT (41.691025359 32.2331044900001)
portlocations.204,TRAMA,2109,6,POINT (41.7494500060001 32.393357602)
portlocations.205,TRGZE,9998,8,POINT (41.8055829100001 35.204740305)
portlocations.206,ESPAL,2110,3,POINT (41.8446522770001 3.12857326400007)
portlocations.207,TRIGN,2109,8,POINT (41.8762852180001 27.9899252070001)
portlocations.208,TRINE,2109,6,POINT (41.9772664560001 33.7645464870001)
portlocations.209,TRSIC,2109,6,POINT (42.0216533560001 35.154934714)
portlocations.210,DKMNS,9998,8,POINT (55.0073451710001 11.9020308630001)
portlocations.211,EEBEK,2107,8,POINT (59.4528867000001 24.6627772000001)
portlocations.212,CYLMS,2110,1,POINT (34.652893066 33.016479492)
portlocations.213,CYMOI,2109,7,POINT (34.7089233400001 33.1853027340001)
portlocations.214,CYLCA,2110,3,POINT (34.927307129 33.641906738)
portlocations.215,GRANI,5105,6,POINT (35.1840820310001 25.7141113280001)
portlocations.216,GRCSF,5105,1,POINT (35.200073242 24.1369018550001)
portlocations.217,GRJSH,5106,5,POINT (35.212524414 26.110900879)
portlocations.218,GRROU,2101,1,POINT (35.229309082 23.960510254)
portlocations.219,GRHER,9998,1,POINT (35.3444824220001 25.1469116210001)
portlocations.220,GRRET,2107,1,POINT (35.371887207 24.475891113)
portlocations.221,GRKSJ,2109,7,POINT (35.4323120120001 26.9860839840001)
portlocations.222,GRSUD,2110,1,POINT (35.4896850590001 24.0648803710001)
portlocations.223,ITLMP,5106,6,POINT (35.4943237300001 12.6102905270001)
portlocations.224,GRKIS,9998,8,POINT (35.4996948240001 23.655090332)
portlocations.225,GRAOK,2109,6,POINT (35.508117676 27.21270752)
portlocations.226,GRCHQ,9998,2,POINT (35.516723633 24.0172729490001)
portlocations.227,MTMAR,5106,6,POINT (35.839904785 14.5446777340001)
portlocations.228,MTMLA,2110,1,POINT (35.894104004 14.5128784180001)
portlocations.229,MTCKW,2106,1,POINT (35.9896850590001 14.328674316)
portlocations.230,MTMGZ,2107,1,POINT (36.0241088870001 14.3002929690001)
portlocations.231,GRHAL,2107,8,POINT (36.2175292970001 27.59967041)
portlocations.232,GRAPE,5106,1,POINT (36.3278808590001 22.9838867190001)
portlocations.233,GRJTR,5106,1,POINT (36.4196777340001 25.425109863)
portlocations.234,GRRHO,2110,1,POINT (36.4464721680001 28.2316894530001)
portlocations.235,GRELN,9998,7,POINT (36.507873535 22.981506348)
portlocations.236,GRNEA,9998,1,POINT (36.508117676 23.060913086)
portlocations.237,GRJTY,5105,7,POINT (36.5416870120001 26.353881836)
portlocations.238,GRNIS,2107,8,POINT (36.558898926 27.16809082)
portlocations.239,GRSYM,5105,1,POINT (36.616271973 27.839904785)
portlocations.240,GRFOL,5105,7,POINT (36.6312866210001 24.9187011720001)
portlocations.241,GRMON,5107,7,POINT (36.684692383 23.0380859370001)
portlocations.242,ITPZL,2110,1,POINT (36.717102051 14.8283081050001)
portlocations.243,GRMLO,9998,1,POINT (36.72467041 24.4454956050001)
portlocations.244,GRIOS,5106,1,POINT (36.7260742190001 25.2728881840001)
portlocations.245,GRGYT,9998,8,POINT (36.757873535 22.5682983400001)
portlocations.246,GRKMS,2107,7,POINT (36.796691895 24.5892944340001)
portlocations.247,GRAMO,9998,7,POINT (36.8248901370001 25.906311035)
portlocations.248,ITPNL,2109,1,POINT (36.834106445 11.9406738280001)
portlocations.249,GRKGS,2110,1,POINT (36.89831543 27.2902832030001)
portlocations.250,GRPYL,5107,5,POINT (36.9152832030001 21.6975097660001)
portlocations.251,GRKMI,2108,1,POINT (36.9511108400001 26.9865112300001)
portlocations.252,GRKLX,2109,6,POINT (37.024475098 22.1198730470001)
portlocations.253,GRANP,9998,1,POINT (37.0402832030001 25.0848999020001)
portlocations.254,ITSIR,2110,3,POINT (37.0626831050001 15.290100098)
portlocations.255,ITGEA,2110,3,POINT (37.0682983400001 14.230102539)
portlocations.256,GRPAS,2109,1,POINT (37.0861206050001 25.14831543)
portlocations.257,GRJNX,5106,1,POINT (37.10168457 25.3720703120001)
portlocations.258,ITSPA,2110,1,POINT (37.1103668750001 15.256327651)
portlocations.259,GRLND,2109,6,POINT (37.145874023 22.892700195)
portlocations.260,GRSER,5105,1,POINT (37.14630127 24.517700195)
portlocations.261,GRLRS,9998,1,POINT (37.198120117 26.766906738)
portlocations.262,ITAUG,2109,1,POINT (37.2175710000001 15.2208460000001)
portlocations.263,GRSPE,5106,1,POINT (37.2694702150001 23.155883789)
portlocations.264,ITPEM,2110,3,POINT (37.2860717770001 13.531311035)
portlocations.265,GRPMS,2107,1,POINT (37.294494629 26.525695801)
portlocations.266,GRPHE,9998,8,POINT (37.335510254 23.1245117190001)
portlocations.267,GRHYD,2108,1,POINT (37.350708008 23.464904785)
portlocations.268,GRERM,2109,1,POINT (37.3859252930001 23.248901367)
portlocations.269,GRKYT,9998,1,POINT (37.3911132810001 24.3964843750001)
portlocations.270,GRJSY,9998,1,POINT (37.4362792970001 24.942687988)
portlocations.271,GRJMK,2108,1,POINT (37.451477051 25.3292846680001)
portlocations.272,ITCTA,2110,1,POINT (37.491516113 15.0957031250001)
portlocations.273,GRGAL,2108,1,POINT (37.4974975590001 23.447875977)
portlocations.274,GRPTR,9998,1,POINT (37.49987793 23.4506835940001)
portlocations.275,GRFOU,2107,8,POINT (37.503479004 26.4953002930001)
portlocations.276,GRTIN,5106,1,POINT (37.53527832 25.1630859370001)
portlocations.277,GRNAF,2109,5,POINT (37.570678711 22.8016967770001)
portlocations.278,GRMET,5106,1,POINT (37.58190918 23.392883301)
portlocations.279,GRAKI,2107,7,POINT (37.583129883 26.2416992190001)
portlocations.280,GREYD,9998,1,POINT (37.63092041 26.1787109370001)
portlocations.281,GRKAK,2110,3,POINT (37.645874023 21.3190917970001)
portlocations.282,GRKEA,2107,1,POINT (37.662719727 24.3117065430001)
portlocations.283,GRPYT,2107,7,POINT (37.6879272460001 26.952514648)
portlocations.284,GRLAV,2110,1,POINT (37.71270752 24.0656738280001)
portlocations.285,GRAGG,5105,1,POINT (37.7130737300001 23.346496582)
portlocations.286,GRAEG,2108,1,POINT (37.7438964840001 23.4244995120001)
portlocations.287,GRVTH,5105,1,POINT (37.758117676 26.970275879)
portlocations.288,GRSLA,9998,1,POINT (37.773071289 23.487915039)
portlocations.289,GRZTH,2107,1,POINT (37.7836914060001 20.9035034180001)
portlocations.290,GRKAR,2107,1,POINT (37.7985229490001 26.6809082030001)
portlocations.291,GRAND,2108,8,POINT (37.840881348 24.935913086)
portlocations.292,GRGAV,5106,1,POINT (37.8847045900001 24.7351074220001)
portlocations.293,GRSHI,9998,8,POINT (37.908325195 20.7064819340001)
portlocations.294,GRITM,2107,6,POINT (37.914123535 23.009094238)
portlocations.295,GRAGT,2107,1,POINT (37.9175592190001 23.116502245)
portlocations.296,ITFAV,2109,1,POINT (37.934875488 12.3334960940001)
portlocations.297,GRKYL,2110,1,POINT (37.939086914 21.150512695)
portlocations.298,GRPIR,2110,1,POINT (37.9426385 23.6408655000001)
portlocations.299,GRPAO,2107,1,POINT (37.9608764650001 23.526916504)
portlocations.300,GRPER,2110,1,POINT (37.9611206050001 23.584106445)
portlocations.301,GRPAX,9998,1,POINT (37.972473145 23.381713867)
portlocations.302,GRMGR,2109,1,POINT (37.978088379 23.3502807620001)
portlocations.303,ITTRI,2110,3,POINT (37.9843139650001 13.7062988280001)
portlocations.304,GRFNR,2101,1,POINT (37.985473633 23.434875488)
portlocations.305,ITLEV,9998,1,POINT (37.987121582 12.3405151370001)
portlocations.306,GRKST,2108,6,POINT (38.012512207 24.4201049800001)
portlocations.307,ITTPS,2109,1,POINT (38.013305664 12.506896973)
portlocations.308,GRKIO,2109,5,POINT (38.01550293 22.7495117190001)
portlocations.309,GRRAF,2109,1,POINT (38.017700195 24.017700195)
portlocations.310,ITCTR,2110,3,POINT (38.0307006840001 12.8781127930001)
portlocations.311,GREEU,9998,1,POINT (38.0350744240001 23.540275394)
portlocations.312,GRMRM,5106,1,POINT (38.046691895 24.3217163090001)
portlocations.313,ITREG,2110,1,POINT (38.12487793 15.651916504)
portlocations.314,ITPMO,2110,1,POINT (38.1290893550001 13.3668823240001)
portlocations.315,GRPKE,2109,1,POINT (38.1477050780001 20.7871093750001)
portlocations.316,GRNST,5105,1,POINT (38.179077148 24.2077026370001)
portlocations.317,ITMSN,2110,1,POINT (38.190307617 15.557678223)
portlocations.318,GRDMB,2108,8,POINT (38.1920776370001 23.0516967770001)
portlocations.319,GRLIX,2109,1,POINT (38.198120117 20.44128418)
portlocations.320,ITMLZ,2109,1,POINT (38.2148430930001 15.243249527)
portlocations.321,GRSMI,5106,1,POINT (38.252075195 20.644104004)
portlocations.322,GRGPA,9998,1,POINT (38.254699707 21.735473633)
portlocations.323,GRAEN,9998,1,POINT (38.25592041 22.0892944340001)
portlocations.324,GRRIO,2108,1,POINT (38.3126831050001 21.779907227)
portlocations.325,GRMEN,9998,8,POINT (38.32208252 21.3698730470001)
portlocations.326,GRORO,9998,1,POINT (38.32208252 23.7973022460001)
portlocations.327,GRANT,5105,1,POINT (38.326477051 21.7661132810001)
portlocations.328,GRITH,2109,1,POINT (38.36529541 20.7194824220001)
portlocations.329,GRMEL,2107,7,POINT (38.3671264650001 21.4323120120001)
portlocations.330,GRJKH,2107,1,POINT (38.3690795900001 26.138305664)
portlocations.331,GRATK,2108,6,POINT (38.377319336 22.6325073240001)
portlocations.332,GRERE,2107,1,POINT (38.3903198240001 23.7968750000001)
portlocations.333,GRLVR,9998,7,POINT (38.395324707 24.0437011720001)
portlocations.334,ITVUL,9998,1,POINT (38.41607666 14.9608764650001)
portlocations.335,GRITA,5106,7,POINT (38.4309082030001 22.42388916)
portlocations.336,ITGIT,2110,1,POINT (38.444356713 15.890313785)
portlocations.337,GRCLK,5105,7,POINT (38.457092285 23.5927124020001)
portlocations.338,GRFIS,5105,7,POINT (38.466674805 20.5734863280001)
portlocations.339,ITLIP,5106,1,POINT (38.470092773 14.957092285)
portlocations.340,GRINO,9998,7,POINT (38.513305664 26.2199096680001)
portlocations.341,GRAST,2109,6,POINT (38.534484863 21.083312988)
portlocations.342,GRPAA,5105,7,POINT (38.54107666 25.564086914)
portlocations.343,ITSLA,2109,1,POINT (38.5651245120001 14.874084473)
portlocations.344,GRLRY,2108,6,POINT (38.5709228520001 23.2880859370001)
portlocations.345,GRPTK,2108,5,POINT (38.5822753910001 23.547912598)
portlocations.346,GRKIM,9998,1,POINT (38.6303100590001 24.124084473)
portlocations.347,GRMGN,2107,1,POINT (38.635070801 20.7575073240001)
portlocations.348,GRNID,2109,1,POINT (38.6964721680001 20.738891602)
portlocations.349,ITVVA,2110,1,POINT (38.716125488 16.1254882810001)
portlocations.350,GRARK,5105,1,POINT (38.7526855470001 23.0270996090001)
portlocations.351,GRAKO,9998,1,POINT (38.758911133 22.8602905270001)
portlocations.352,GRLEV,2107,1,POINT (38.844116211 20.7172851560001)
portlocations.353,GREDI,9998,1,POINT (38.8591308590001 23.0415039060001)
portlocations.354,GRAMF,5105,6,POINT (38.865112305 21.164672852)
portlocations.355,GRACL,9998,8,POINT (38.8903198240001 22.8226928710001)
portlocations.356,GRSYS,9998,8,POINT (38.91027832 22.616088867)
portlocations.357,GRSKU,2108,1,POINT (38.9177246090001 24.5792846680001)
portlocations.358,GRPVK,5106,1,POINT (38.950317383 20.7570800780001)
portlocations.359,GRGLY,2107,1,POINT (38.9520874020001 22.9672851560001)
portlocations.360,ITPFX,2107,1,POINT (39.0796914650001 9.02219045800007)
portlocations.361,ITCRV,2110,3,POINT (39.086730957 17.121704102)
portlocations.362,GRMJT,9998,1,POINT (39.1022949220001 26.5568847660001)
portlocations.363,ITCLS,5106,1,POINT (39.114074707 8.37188720700004)
portlocations.364,GRSKO,2109,1,POINT (39.1245117190001 23.7294921870001)
portlocations.365,GRALO,5105,1,POINT (39.144104004 23.8676757810001)
portlocations.366,ITCLF,5106,1,POINT (39.144897461 8.30908203100006)
portlocations.367,GRJSI,2109,1,POINT (39.160522461 23.4918823240001)
portlocations.368,GRGLO,9998,7,POINT (39.165893555 23.616516113)
portlocations.369,ITPVE,2110,1,POINT (39.198120117 8.39410400400004)
portlocations.370,ITCAG,2110,1,POINT (39.2119140620001 9.10510253900003)
portlocations.371,GRVOL,2110,1,POINT (39.3557128910001 22.950073242)
portlocations.372,GRLFK,5105,1,POINT (39.4146728520001 20.0958862300001)
portlocations.373,GRIGO,5105,1,POINT (39.500305176 20.264709473)
portlocations.374,ESPMI,2107,1,POINT (39.567868908 2.63134940700007)
portlocations.375,GRCFU,2107,1,POINT (39.6276855470001 19.9057006840001)
portlocations.376,GRAGK,5105,1,POINT (39.68347168 22.885314941)
portlocations.377,ITQOS,2110,2,POINT (39.8671264650001 8.55090332000003)
portlocations.378,GRMYR,2108,1,POINT (39.873901367 25.0612792970001)
portlocations.379,GRMDR,5105,7,POINT (39.874084473 25.266479492)
portlocations.380,GRDAF,2107,1,POINT (40.217102051 24.2229003910001)
portlocations.381,GRNMA,5105,6,POINT (40.239074707 23.2792968750001)
portlocations.382,GRYER,5105,7,POINT (40.2694702150001 23.446105957)
portlocations.383,GROUR,5105,1,POINT (40.3248901370001 23.981079102)
portlocations.384,GRAMI,2109,1,POINT (40.335510254 23.922912598)
portlocations.385,GRTRY,9998,1,POINT (40.364318848 23.921508789)
portlocations.386,GRSAM,5105,1,POINT (40.471496582 25.4650878910001)
portlocations.387,ITTAR,2110,1,POINT (40.4773414580001 17.190115512)
portlocations.388,GRSTI,9998,8,POINT (40.5175170900001 23.8312988280001)
portlocations.389,ITPRJ,2108,1,POINT (40.5559082030001 14.243286133)
portlocations.390,ITAHO,2110,3,POINT (40.5661010740001 8.31829834000007)
portlocations.391,ITPOS,2108,1,POINT (40.627319336 14.4865112300001)
portlocations.392,ITRRO,2109,1,POINT (40.6320800780001 14.385070801)
portlocations.393,ITAMA,5106,1,POINT (40.6334838870001 14.600708008)
portlocations.394,GRSKG,2110,1,POINT (40.636350593 22.9282861790001)
portlocations.395,ITBDS,2110,1,POINT (40.6469000000001 17.977206)
portlocations.396,GRSHA,9998,7,POINT (40.66607666 23.701477051)
portlocations.397,ITSAL,2110,1,POINT (40.677124023 14.741271973)
portlocations.398,ITCAS,2110,1,POINT (40.6928710940001 14.475708008)
portlocations.399,ITPDI,9998,1,POINT (40.7438964840001 13.939086914)
portlocations.400,ITCML,2109,1,POINT (40.7509155270001 13.9166870120001)
portlocations.401,ITPRO,2108,1,POINT (40.765930176 14.026489258)
portlocations.402,GRTSO,5106,1,POINT (40.7814941410001 24.711303711)
portlocations.403,ITPOZ,2110,1,POINT (40.826721191 14.1176757810001)
portlocations.404,ITNAP,2109,1,POINT (40.8400115000001 14.276083)
portlocations.405,ITPTO,2109,1,POINT (40.843078613 8.40270996100003)
portlocations.406,GRAXD,2109,1,POINT (40.84387207 25.8833007810001)
portlocations.407,GRELT,9998,8,POINT (40.850891113 24.31628418)
portlocations.408,GRKER,5106,1,POINT (40.859924316 24.700500488)
portlocations.409,ITPNZ,2108,1,POINT (40.8944702150001 12.963684082)
portlocations.410,ITOLB,2109,1,POINT (40.922912598 9.52447509800004)
portlocations.411,GRKVA,5106,1,POINT (40.929321289 24.4133300780001)
portlocations.412,ITGAI,2110,1,POINT (40.9982910160001 9.62310791000004)
portlocations.413,GRPTL,2109,7,POINT (40.9982910160001 25.1276855470001)
portlocations.414,ESTAR,2110,1,POINT (41.102062 1.23276200000004)
portlocations.415,ITBRI,2110,1,POINT (41.1334838870001 16.861877441)
portlocations.416,ITPAU,5106,1,POINT (41.1818847660001 9.38470459000007)
portlocations.417,ITMDA,9998,1,POINT (41.211486816 9.40527343700006)
portlocations.418,ITGAE,2110,2,POINT (41.2230834960001 13.5704956050001)
portlocations.419,ITSTE,5105,1,POINT (41.242492676 9.19531250000006)
portlocations.420,ITFOM,5106,1,POINT (41.253479004 13.6080932620001)
portlocations.421,ITBLT,2109,1,POINT (41.325500488 16.285705566)
portlocations.422,ESBCN,2110,1,POINT (41.353088859 2.16569367000005)
portlocations.423,FRBON,5106,1,POINT (41.3864746090001 9.16070556600005)
portlocations.424,ITANZ,2110,1,POINT (41.4478759770001 12.6333007810001)
portlocations.425,FRPVO,2110,3,POINT (41.58972168 9.28387451200007)
portlocations.426,ITMFR,5106,5,POINT (41.625305176 15.9157104490001)
portlocations.427,ITFCO,2110,1,POINT (41.770874023 12.2207031250001)
portlocations.428,FRAJA,2110,1,POINT (41.9196777340001 8.74011230500003)
portlocations.429,REPDG,9998,8,POINT (-20.93593075 55.2823450500001)
portlocations.430,ITTMI,2110,1,POINT (42.0029296870001 14.99987793)
portlocations.431,MEBAR,2101,1,POINT (42.090881348 19.081115723)
portlocations.432,ITCVV,2110,1,POINT (42.0920560000001 11.7891685000001)
portlocations.433,ITTMT,9998,1,POINT (42.1220703120001 15.5119018550001)
portlocations.434,ITOTN,2110,2,POINT (42.349487305 14.41027832)
portlocations.435,ITIDG,9998,1,POINT (42.360473633 10.9196777340001)
portlocations.436,ITPSS,2111,1,POINT (42.436096191 11.125305176)
portlocations.437,BGBOJ,2110,1,POINT (42.4834825 27.4709490000001)
portlocations.438,FRILR,5105,1,POINT (42.6364746090001 8.93890380900007)
portlocations.439,HRDBV,2107,1,POINT (42.658508301 18.085510254)
portlocations.440,FRBIA,2109,1,POINT (42.703674316 9.45709228500004)
portlocations.441,HRSBR,2109,1,POINT (42.7396850590001 17.5971069340001)
portlocations.442,ITPFE,2110,1,POINT (42.8137207030001 10.3239135740001)
portlocations.443,ITRMA,5106,1,POINT (42.815490723 10.4287109370001)
portlocations.444,ITPIO,2110,1,POINT (42.9302978520001 10.545288086)
portlocations.445,HRKOR,2109,1,POINT (42.9628906250001 17.1356811520001)
portlocations.446,HRVLK,2109,1,POINT (42.9642944340001 16.7163085940001)
portlocations.447,HRTRJ,2107,1,POINT (43.0109252930001 17.2694702150001)
portlocations.448,FRNOU,2109,2,POINT (43.016479492 3.06390380900007)
portlocations.449,HRPLE,2111,1,POINT (43.050109863 17.428283691)
portlocations.450,HRVIS,2109,1,POINT (43.068908691 16.203674316)
portlocations.451,FRTLN,2110,1,POINT (43.1179199220001 5.91589355500003)
portlocations.452,HRSUC,2107,1,POINT (43.1223144530001 17.1787109370001)
portlocations.453,HRHVA,2109,1,POINT (43.1679077150001 16.442504883)
portlocations.454,HRSGD,2107,1,POINT (43.1845092770001 16.5971069340001)
portlocations.455,BGVAR,2110,1,POINT (43.193049208 27.919205677)
portlocations.456,HRBOL,2108,1,POINT (43.2592773440001 16.6500854490001)
portlocations.457,HRMAK,2109,1,POINT (43.286499023 17.020080566)
portlocations.458,FRMRS,2110,1,POINT (43.3331910000001 5.34500650000007)
portlocations.459,HRSUP,2109,1,POINT (43.3854980470001 16.5504760740001)
portlocations.460,FRSET,2110,1,POINT (43.397277832 3.70410156200006)
portlocations.461,HRRGC,2107,1,POINT (43.398498535 16.299682617)
portlocations.462,HRSPU,2109,1,POINT (43.5065307620001 16.4384765620001)
portlocations.463,HRTRO,2109,1,POINT (43.5153198240001 16.246704102)
portlocations.464,FRCEQ,2109,7,POINT (43.55090332 7.01489257800006)
portlocations.465,ITLIV,2109,1,POINT (43.5636405000001 10.303076)
portlocations.466,ITFAL,2110,3,POINT (43.647676919 13.3935587560001)
portlocations.467,ITAOI,2110,1,POINT (43.620910645 13.506896973)
portlocations.468,FRNCE,9998,1,POINT (43.693725586 7.28570556600005)
portlocations.469,HRSIB,2109,1,POINT (43.729309082 15.894897461)
portlocations.470,HRVDC,2109,1,POINT (43.758117676 15.7802734370001)
portlocations.471,ROMAG,2110,3,POINT (43.806274414 28.5913085940001)
portlocations.472,HRBNM,2107,1,POINT (43.93951416 15.4396972660001)
portlocations.473,ITMDC,2110,3,POINT (44.035705566 10.044311523)
portlocations.474,HRPRE,2109,1,POINT (44.076721191 15.193908691)
portlocations.475,ITSPE,2110,1,POINT (44.1067655000001 9.83272850000003)
portlocations.476,HRZAD,2109,1,POINT (44.116271973 15.2307128910001)
portlocations.477,ROCND,2110,1,POINT (44.138131968 28.657082958)
portlocations.478,HRBZA,2109,1,POINT (44.1544799800001 14.918273926)
portlocations.479,ROBAB,9998,2,POINT (44.176086426 28.39831543)
portlocations.480,ROMED,2108,2,POINT (44.24230957 28.3068847660001)
portlocations.481,ITSVN,2110,1,POINT (44.314199735 8.49652823600007)
portlocations.482,ROMID,9998,2,POINT (44.3447265620001 28.678283691)
portlocations.483,ITGOA,2110,1,POINT (44.4139497890001 8.91648942200004)
portlocations.484,ITRAN,2110,1,POINT (44.47052002 12.25567627)
portlocations.485,HRNVL,2109,1,POINT (44.551330566 14.88269043)
portlocations.486,HRJAB,2109,1,POINT (44.6997070310001 14.898071289)
portlocations.487,HRRAB,2109,1,POINT (44.7548828120001 14.766906738)
portlocations.488,HRPUY,2109,1,POINT (44.840881348 13.839904785)
portlocations.489,HRCRS,2109,1,POINT (44.9564819340001 14.4042968750001)
portlocations.490,HRKRK,2109,1,POINT (45.0236816410001 14.5858764650001)
portlocations.491,HRRAS,2107,8,POINT (45.0327148440001 14.046508789)
portlocations.492,HRRBC,2108,1,POINT (45.0792846680001 14.152709961)
portlocations.493,HRROV,2111,1,POINT (45.07989502 13.633911133)
portlocations.494,ROTCE,2109,3,POINT (45.1875000000001 28.814086914)
portlocations.495,HROMI,2109,5,POINT (45.208312988 14.5524902340001)
portlocations.496,ITCHI,5106,6,POINT (45.2252807620001 12.282104492)
portlocations.497,HRPOR,2108,1,POINT (45.2282714840001 13.5979003910001)
portlocations.498,ROBRA,2109,2,POINT (45.280883789 27.991516113)
portlocations.499,HRBAK,2109,6,POINT (45.301086426 14.54107666)
portlocations.500,HRRJK,2111,1,POINT (45.32409668 14.4345092770001)
portlocations.501,ITVCE,2109,1,POINT (45.4382935 12.304285)
portlocations.502,ROGAL,2110,1,POINT (45.4323120120001 28.0725097660001)
portlocations.503,SIPIR,5106,5,POINT (45.5283203120001 13.5682983400001)
portlocations.504,SIKOP,2110,1,POINT (45.5588135 13.740372)
portlocations.505,ITTRS,2109,1,POINT (45.65007 13.7546130000001)
portlocations.506,ITMNF,2110,3,POINT (45.7836914060001 13.536682129)
portlocations.507,ITPNG,2110,2,POINT (45.794311523 13.231079102)
portlocations.508,DEAND,2108,2,POINT (50.4431152340001 7.42510986300005)
portlocations.509,DELLS,9998,1,POINT (50.8226928710001 7.01672363300003)
portlocations.510,DECGN,2111,4,POINT (50.95489502 6.97790527300003)
portlocations.511,DENSS,2110,1,POINT (51.1857299800001 6.73327636700003)
portlocations.512,DEDUS,2108,1,POINT (51.222290039 6.76391601600005)
portlocations.513,DEKRE,2110,1,POINT (51.350891113 6.65747070300006)
portlocations.514,DEMUH,2107,4,POINT (51.4396972660001 6.85131835900006)
portlocations.515,DEDUI,2110,1,POINT (51.444702148 6.75128173800005)
portlocations.516,DEORS,5105,6,POINT (51.527893066 6.69012451200007)
portlocations.517,DEDTM,2111,3,POINT (51.530090332 7.43792724600007)
portlocations.518,DEGEK,2110,4,POINT (51.5394897460001 7.07647705100004)
portlocations.519,DERHB,5105,7,POINT (51.5704956050001 6.60308837900004)
portlocations.520,DEESU,2107,8,POINT (51.600891113 6.59552002000004)
portlocations.521,DEWES,2108,6,POINT (51.6508789060001 6.60168457000003)
portlocations.522,DESAR,2108,7,POINT (52.157104492 10.387512207)
portlocations.523,DEPEI,2108,5,POINT (52.304077148 10.2243041990001)
portlocations.524,DEBRE,2110,1,POINT (53.102905273 8.75787353500004)
portlocations.525,DEPAP,2110,3,POINT (53.109680176 7.36767578100006)
portlocations.526,DEOLO,2109,1,POINT (53.1412963870001 8.23730468700006)
portlocations.527,DELEE,2110,2,POINT (53.2185058590001 7.42608642600004)
portlocations.528,NLDZL,2110,3,POINT (53.331115723 6.94152832000003)
portlocations.529,DEEME,2110,1,POINT (53.3344726560001 7.17492675800003)
portlocations.530,DEWVN,2110,1,POINT (53.528734409 8.15891904000006)
portlocations.531,DEBRV,2110,1,POINT (53.5408967170001 8.57209738800003)
portlocations.532,DEHAM,2110,1,POINT (53.5415039060001 9.98052978500004)
portlocations.533,DEBMK,2107,1,POINT (53.559692383 6.75250244100005)
portlocations.534,DEWED,2109,1,POINT (53.570678711 9.69372558600003)
portlocations.535,DESTA,5106,6,POINT (53.6036987300001 9.47888183600003)
portlocations.536,DENOE,2111,1,POINT (53.627075195 7.15850830100004)
portlocations.537,DEBUZ,5105,7,POINT (53.660705566 9.50592041000004)
portlocations.538,DEJUI,2109,1,POINT (53.6718750000001 6.97888183600003)
portlocations.539,DEBEN,5105,1,POINT (53.67590332 7.57427978500004)
portlocations.540,DENES,2109,1,POINT (53.6853027340001 7.36187744100005)
portlocations.541,DENRD,2110,1,POINT (53.700500488 7.16589355500003)
portlocations.542,DENHS,5106,1,POINT (53.7009277340001 7.70428466800007)
portlocations.543,DECAR,5105,1,POINT (53.711303711 7.80932617200006)
portlocations.544,DEBMR,2107,1,POINT (53.722290039 7.36767578100006)
portlocations.545,DELGO,2108,1,POINT (53.72467041 7.49591064500004)
portlocations.546,DESPI,5105,1,POINT (53.7650756840001 7.69769287100007)
portlocations.547,DEGLU,5106,5,POINT (53.777893066 9.41607666000004)
portlocations.548,DEAGE,5105,1,POINT (53.7951049800001 7.89868164100005)
portlocations.549,DEWIF,5106,5,POINT (53.7974853520001 9.34930419900007)
portlocations.550,DELBC,2110,1,POINT (53.8688964840001 10.6754760740001)
portlocations.551,DECUX,2110,1,POINT (53.8710937500001 8.71148681600005)
