FID,country,name,n_turbines,power_mw,status,year,dist_coast,notes,the_geom
windfarms.24,Denmark,Sonderbjerg,,285,Planned,,7410.84810875,,POINT (56.6299999997003 11.6299999997003)
windfarms.25,Denmark,Stevns Nord,,350,Planned,,5186.76235712,,POINT (55.2699999999001 12.5299999997003)
windfarms.26,Denmark,Stokkebro,,210,Planned,,23265.8011851,,POINT (56.2500000001 11.2500000001)
windfarms.27,Denmark,Thybo,,4000,Planned,,115086.01864,,POINT (57.0699999999001 6.09999999960036)
windfarms.28,Denmark,Thybo II,,1760,Planned,,45544.1360208,,POINT (57.2800000001999 7.86000000039974)
windfarms.29,Denmark,Vesterhav Nord-Syd,,344,Approved,,7823.71989577,,POINT (56.6199999999001 8.01999999990011)
windfarms.94,France,SEM-REV,,8,Production,2015,10400.6807673,,POINT (47.2400000002998 -2.77799999960024)
windfarms.46,Estonia,Saare Liivi 5,,5980,Planned,,146952.941805,,POINT (58.0800000003998 27.7799999998002)
windfarms.47,Estonia,Saare West,,1000,Planned,,36846.353695,,POINT (58.1300000002998 21.2499999999001)
windfarms.48,Estonia,Sõrve,,1200,Planned,,17087.5982864,,POINT (58.0599999999001 21.7400000000001)
windfarms.49,Estonia,Sõrve 2,,1200,Planned,,15059.8275455,,POINT (57.9399999996003 21.7300000001999)
windfarms.50,Estonia,Sunly SW1,,84,Planned,,19392.6923229,,POINT (59.1200000002999 22.0900000001999)
windfarms.207,Norway,TetraSpar Demonstrator,,3.6,Production,2021,9479.07730906,,POINT (59.1499999997003 5.00000000000006)
windfarms.149,Ireland,Wexford,,2500,Planned,,60765.5433015,,POINT (51.5700000001 -6.74000000009988)
windfarms.150,Ireland,Wicklow,,500,Planned,,22755.1190253,,POINT (52.8600000003997 -5.70000000019979)
windfarms.171,Italy,Ostro,,600,Planned,,5855.15737601,,POINT (38.0700000001 12.3099999996003)
windfarms.235,Poland,Pomorze II,,611,Planned,,43443.5157799,,POINT (54.5199999996004 15.0899999998002)
windfarms.236,Poland,Pomorze III,,611,Planned,,39428.0935095,,POINT (54.5099999998002 15.2900000002998)
windfarms.238,Poland,Sharco I,,383,Planned,,32870.8620373,,POINT (54.4699999997003 15.4099999997003)
windfarms.239,Poland,Sharco II,,383,Planned,,32750.5013673,,POINT (55.0599999996003 16.4799999999001)
windfarms.240,Portugal,Offshore Island Porto Santo,,10,Planned,,4065.20895654,,POINT (33.1299999999001 -16.4000000003996)
windfarms.317,Sweden,Heimdall,,2400,Planned,,29116.8260381,,POINT (58.6700000002998 10.5499999997003)
windfarms.318,Sweden,Herkules I,,1000,Planned,,79295.740891,,POINT (56.4099999996004 19.1799999999001)
windfarms.319,Sweden,Herkules II,,1750,Planned,,63388.3545406,,POINT (56.8300000001999 19.4499999999001)
windfarms.321,Sweden,Kattegatt Syd,,1200,Planned,,22000.3367048,,POINT (56.7999999999001 12.0000000003997)
windfarms.323,Sweden,Kultje,,2150,Planned,,30270.072999,,POINT (56.9499999996004 17.6300000002998)
windfarms.329,Sweden,Mareld,,2300,Planned,,41519.3369902,,POINT (58.1599999997003 10.58)
windfarms.330,Sweden,Najaderna,,1000,Planned,,25022.4510208,,POINT (60.8199999996004 18.2700000001)
windfarms.331,Sweden,Neptuni,,2000,Planned,,16560.9046417,,POINT (57.4500000003998 17.3399999998002)
windfarms.335,Sweden,Polargrund,,1600,Planned,,18792.7837052,,POINT (65.3700000003997 23.7299999998002)
windfarms.30,Denmark,Vigso Bay,,450,Planned,,5189.60983377,,POINT (57.1699999997003 8.6499999999001)
windfarms.31,Denmark,Vikinge Banke,,1140,Planned,,173112.949756,,POINT (56.1100000001999 5.31999999990012)
windfarms.33,Estonia,Area 1 - Eesti Energia,,1005,Planned,,12277.0776112,,POINT (57.9799999997003 24.1899999996003)
windfarms.34,Estonia,Area 2 - Eesti Energia,,1005,Planned,,13651.727171,,POINT (57.9699999999002 24.0099999996003)
windfarms.35,Estonia,Liivi Iaht,,960,Planned,,13628.2809003,,POINT (57.9699999999002 23.9800000001999)
windfarms.39,Estonia,Ruhnu 1,,1000,Planned,,21355.6269886,,POINT (57.9799999997003 23.0199999996004)
windfarms.40,Estonia,Ruhnu 2,,1000,Planned,,20417.5448824,,POINT (57.9399999996003 22.9599999999001)
windfarms.42,Estonia,Saare Liivi 1,,1200,Planned,,23043.676356,,POINT (57.9500000002998 22.9000000001999)
windfarms.43,Estonia,Saare Liivi 2,,1200,Planned,,19551.217496,,POINT (57.9600000001 23.0199999996004)
windfarms.44,Estonia,Saare Liivi 3,,1200,Planned,,18002.2133773,,POINT (57.9799999997003 23.1499999997003)
windfarms.45,Estonia,Saare Liivi 4,,1200,Planned,,22587.6115962,,POINT (58.01 23.3900000002998)
windfarms.37,Estonia,Nasva Offshore,,,Planned,,984.0870188,,POINT (58.2099999996004 22.4900000002998)
windfarms.51,Estonia,Sunly SW10,,72,Planned,,25851.3314469,,POINT (57.83 21.6099999999001)
windfarms.52,Estonia,Sunly SW11,,108,Planned,,27920.9754144,,POINT (58.1800000001999 21.3700000001999)
windfarms.53,Estonia,Sunly SW12,,72,Planned,,23116.202088,,POINT (58.2300000001 21.4100000002998)
windfarms.54,Estonia,Sunly SW13,,72,Planned,,23116.202088,,POINT (58.2300000001 21.4100000002998)
windfarms.55,Estonia,Sunly SW2,,114,Planned,,15080.9390995,,POINT (59.0700000003998 21.9600000001)
windfarms.56,Estonia,Sunly SW3,,144,Planned,,15706.9935603,,POINT (58.9500000001 21.7700000002998)
windfarms.57,Estonia,Sunly SW4,,132,Planned,,11615.1980602,,POINT (58.9100000000001 21.8399999998002)
windfarms.58,Estonia,Sunly SW5,,84,Planned,,11157.1063667,,POINT (58.1400000001 21.8700000001)
windfarms.59,Estonia,Sunly SW6,,492,Planned,,13029.0203096,,POINT (58.2399999999001 21.6000000001)
windfarms.60,Estonia,Sunly SW7,,252,Planned,,20115.3981195,,POINT (58.28 21.4299999999001)
windfarms.61,Estonia,Sunly SW8,,120,Planned,,25473.222339,,POINT (58.1800000001999 21.4200000000999)
windfarms.62,Estonia,Sunly SW9,,120,Planned,,32967.488938,,POINT (58.1900000000001 21.2599999997003)
windfarms.63,Estonia,Tuuletraal,,1050,Planned,,31280.1643536,,POINT (58.1099999998002 23.3400000003998)
windfarms.71,Finland,Halla,,1920,Planned,,33096.2547617,,POINT (65.03 23.8500000001)
windfarms.73,Finland,Jakobstad,,800,Planned,,32691.1666942,,POINT (63.7899999996004 21.8200000001999)
windfarms.74,Finland,Kemi Ajos III,,189,Planned,,1272.29550847,,POINT (65.6400000003998 24.5100000003998)
windfarms.76,Finland,Laine,,1800,Planned,,31855.1291702,,POINT (63.7899999996004 21.8399999998002)
windfarms.77,Finland,Noatun,,3000,Planned,,4968.36628209,,POINT (59.8299999996004 20.4600000003998)
windfarms.86,France,AFLOWT France,,6,Planned,,5500.83501318,,POINT (43.3099999997003 4.91999999980021)
windfarms.87,France,Eolink Démonstrateur,,5,Approved,,10339.6517018,,POINT (47.2400000002998 -2.7800000000999)
windfarms.91,France,Ideol & Quadran Floating Project,,500,Planned,,27892.7000848,,POINT (42.8999999998002 3.39999999960037)
windfarms.92,France,Mistral,,10,Approved,,4899.10502058,,POINT (43.2999999999001 4.9000000001999)
windfarms.95,Germany,AquaPrimus,,28,Planned,,5263.97047359,,POINT (54.2100000003998 7.79999999980021)
windfarms.106,Germany,Wikinger Süd,,10,Planned,,40204.8659116,,POINT (54.8199999999001 14.1200000002998)
windfarms.107,Germany,Windanker,,300,Planned,,42328.2550752,,POINT (54.8900000002998 14.0300000002998)
windfarms.112,Greece,DWI Peloponese,,86.4,Planned,,8669.29268377,,POINT (36.8000000002998 21.6000000001)
windfarms.115,Greece,Thrakiki Wind 1,,24,Planned,,1711.23909756,,POINT (40.8299999998002 25.8499999997003)
windfarms.116,Greece,Thrakiki Wind 1,,24,Planned,,1120.36652757,,POINT (40.8399999996004 25.8099999996003)
windfarms.117,Greece,Thrakiki Wind 1,,24,Planned,,1214.25151384,,POINT (40.8399999996004 25.7800000001999)
windfarms.118,Greece,Thrakiki Wind 1,,24,Planned,,1924.17021831,,POINT (40.8299999998002 25.8399999999001)
windfarms.119,Greece,Thrakiki Wind 1,,24,Planned,,2228.27308574,,POINT (40.8299999998002 25.8099999996003)
windfarms.120,Greece,Thrakiki Wind 1,,24,Planned,,3029.67831299,,POINT (40.8200000000001 25.8399999999001)
windfarms.121,Greece,Thrakiki Wind 1,,24,Planned,,1918.7929086,,POINT (40.8100000001999 25.97)
windfarms.122,Greece,Thrakiki Wind 1,,24,Planned,,2472.1130069,,POINT (40.8000000003997 25.97)
windfarms.123,Greece,Thrakiki Wind 1,,24,Planned,,2868.28171729,,POINT (40.7899999997003 25.97)
windfarms.124,Ireland,Aniar Offshore Array,,500,Planned,,12758.7601415,,POINT (54.4199999998002 -8.86999999980009)
windfarms.125,Ireland,Aniar Offshore Array,,500,Planned,,19210.4766328,,POINT (54.59 -9.11000000039968)
windfarms.126,Ireland,Atlantic Marine Energy Test Site,,10,Approved,,10314.8881137,,POINT (54.2700000001 -10.2599999999)
windfarms.127,Ireland,Banba Wind,,1000,Planned,,13553.627317,,POINT (52.9899999996003 -5.79999999999995)
windfarms.128,Ireland,Blackwater,,1500,Planned,,34688.5851172,,POINT (51.8400000001 -6.37000000029974)
windfarms.129,Ireland,Celtic Two,,800,Planned,,64429.0986392,,POINT (51.4999999997003 -7.1000000000999)
windfarms.130,Ireland,Clarus,,1000,Planned,,27917.5702776,,POINT (52.7099999998002 -10.2699999997002)
windfarms.131,Ireland,Dublin,,2500,Planned,,9205.84180789,,POINT (53.7499999997003 -6.1000000002997)
windfarms.132,Ireland,Emerald - Commercial,,700,Planned,,41647.6605021,,POINT (51.3599999998002 -8.08000000029972)
windfarms.133,Ireland,Emerald - Demonstration,,300,Planned,,41647.6605021,,POINT (51.3599999998002 -8.08000000029972)
windfarms.134,Ireland,Greystones,,1000,Planned,,24171.7864924,,POINT (53.2499999998002 -5.71999999980011)
windfarms.136,Ireland,Inis Offshore Wind Kerry,,1000,Planned,,10083.5262633,,POINT (52.3700000002999 -10.2500000000999)
windfarms.137,Ireland,Inis Offshore Wind Leinster,,500,Planned,,27481.821763,,POINT (53.2499999998002 -5.66999999990003)
windfarms.138,Ireland,Inis Offshore Wind Munster,,1000,Planned,,17174.9341362,,POINT (52.7800000001999 -9.88000000029973)
windfarms.139,Ireland,Kinsale,,1000,Planned,,24161.7979545,,POINT (51.4700000002998 -8.26000000029973)
windfarms.140,Ireland,Latitude 52,,1000,Planned,,19402.0947539,,POINT (52.8099999996003 -5.78000000039964)
windfarms.141,Ireland,Moneypoint Offshore One,,400,Planned,,20416.3185557,,POINT (52.4499999996004 -10.3300000002997)
windfarms.142,Ireland,Moneypoint Offshore Two,,1100,Planned,,38973.0720879,,POINT (52.5600000001 -10.5799999998001)
windfarms.143,Ireland,Réalt na Mara,,1600,Planned,,11667.7352798,,POINT (52.9200000001 -5.84000000009991)
windfarms.144,Ireland,Shelmalere,,1000,Planned,,17654.7551268,,POINT (52.3899999999001 -6.06000000019981)
windfarms.145,Ireland,Sunrise Wind (IE),,1330,Planned,,17107.5464531,,POINT (53.2400000000001 -5.83000000029972)
windfarms.146,Ireland,Tralee,,2500,Planned,,2140.10687878,,POINT (52.5600000001 -9.97000000029971)
windfarms.147,Ireland,Urban Sea,,4000,Planned,,16354.1655491,,POINT (51.4300000001999 -10.0600000002997)
windfarms.148,Ireland,Western Star Floating Wind,,1350,Planned,,21255.3770831,,POINT (52.8399999999001 -10.2500000000999)
windfarms.151,Italy,Abruzzo 1,,1760,Planned,,18259.0808914,,POINT (42.5499999996003 14.4300000003997)
windfarms.152,Italy,Agnes 1,,120,Planned,,33442.3832863,,POINT (44.3399999998002 12.7899999999001)
windfarms.153,Italy,Agnes 2,,400,Planned,,35486.689098,,POINT (44.5599999999001 12.7300000001999)
windfarms.154,Italy,Avventura,,228,Planned,,44012.7367467,,POINT (37.3500000001 12.2099999998002)
windfarms.155,Italy,BRN Brindisi,,504,Planned,,25025.6498823,,POINT (40.91 17.96)
windfarms.156,Italy,Calypso,,600,Planned,,28887.3411406,,POINT (37.76 11.8300000001999)
windfarms.157,Italy,Centrale Eolica Offshore Brindisi,,108,Planned,,5596.06542655,,POINT (40.5900000001 18.1099999997003)
windfarms.158,Italy,Crotone,,495,Planned,,66091.5157762,,POINT (38.39 17.51)
windfarms.159,Italy,Fortevento,,585,Planned,,8350.59118514,,POINT (38.6199999999001 16.6599999999002)
windfarms.160,Italy,Gulf of Gela,,384,Planned,,52516.1054754,,POINT (35.7499999997003 15.1399999997003)
windfarms.161,Italy,Hope,,600,Planned,,22641.5715871,,POINT (41.3000000002998 17.0400000003997)
windfarms.162,Italy,Kailia Energia,,1176,Planned,,8714.47725353,,POINT (40.0400000002998 18.5800000001999)
windfarms.163,Italy,Linosa,,1020,Planned,,23597.3378643,,POINT (36.0099999999001 13.9299999996003)
windfarms.164,Italy,Marche 1,,500,Planned,,11592.5620327,,POINT (43.9299999999001 13.1199999996003)
windfarms.165,Italy,MedWind,,2793,Planned,,53379.3987657,,POINT (37.9300000001999 11.4300000001)
windfarms.166,Italy,Minervia Energia,,675,Planned,,17026.7403959,,POINT (38.7599999998002 16.9600000001999)
windfarms.167,Italy,Nora Energia 1,,795,Planned,,7329.50778897,,POINT (39.02 9.12000000039973)
windfarms.168,Italy,Nora Energia 2,,600,Planned,,13809.4821788,,POINT (39.0100000001999 9.67000000019988)
windfarms.169,Italy,Nurax,,462,Planned,,38511.0134977,,POINT (41.2500000003997 10.0099999997003)
windfarms.170,Italy,Odra Energia,,1350,Planned,,15724.1432867,,POINT (39.7899999999001 18.5700000003998)
windfarms.172,Italy,Puglia A,,1005,Planned,,9489.88901695,,POINT (41.2799999998002 16.6599999999002)
windfarms.173,Italy,Puglia B,,930,Planned,,6708.38796681,,POINT (41.2500000003997 16.6900000001999)
windfarms.174,Italy,Rimini,,330,Planned,,15825.3590711,,POINT (44.1199999997003 12.7800000001)
windfarms.175,Italy,Sardegna 1,,550,Planned,,15460.4874104,,POINT (38.7400000001999 8.79999999960035)
windfarms.176,Italy,Sardegna 2,,825,Planned,,15901.06538,,POINT (38.7400000001999 8.5500000001)
windfarms.177,Italy,Sardinia - GreenIT-CIP,,500,Planned,,16188.3850023,,POINT (37.8000000001 12.0600000001)
windfarms.178,Italy,Sardinia Northeast - AvenHexicon,,2150,Planned,,32746.4501076,,POINT (41.2100000002998 9.95999999980017)
windfarms.179,Italy,Sardinia Northwest - AvenHexicon,,1350,Planned,,27874.8453856,,POINT (40.4900000002998 7.8399999999001)
windfarms.180,Italy,Sea Wind Italia,,292,Planned,,21813.086094,,POINT (38.8800000001 8.15999999980022)
windfarms.181,Italy,Sicily - GreenIT-CIP,,250,Planned,,11704.0305645,,POINT (37.8400000001999 12.0699999999001)
windfarms.182,Italy,Sicily South - AvenHexicon,,1200,Planned,,24616.5245051,,POINT (37.1600000002998 13.2099999996004)
windfarms.184,Italy,Tavole,,555,Planned,,25216.5214994,,POINT (38.4499999997003 16.8700000001999)
windfarms.185,Italy,Thalassa,,525,Planned,,37188.4298779,,POINT (38.5299999999002 8.59000000019989)
windfarms.186,Italy,Tibula Energia,,975,Planned,,12021.7512291,,POINT (41.3699999998002 9.50999999980019)
windfarms.187,Italy,Torres,,480,Planned,,38609.6751747,,POINT (40.1800000001999 7.92000000009995)
windfarms.188,Italy,Veneto 1,,500,Planned,,21020.9493069,,POINT (44.96 12.8200000001999)
windfarms.189,Italy,Zefiro,,3150,Planned,,45234.2053998,,POINT (41.2299999999001 10.1100000003997)
windfarms.190,Latvia,JK Energy,,900,Planned,,6683.84060679,,POINT (56.7300000003997 20.9499999996004)
windfarms.198,Norway,Flagship - Metcentre,,10,Approved,,9225.51975956,,POINT (59.1499999997003 5.00999999980019)
windfarms.200,Norway,Hywind Tampen,,95,Construction,,100489.073499,,POINT (61.3300000001999 2.70000000009998)
windfarms.204,Norway,Sorlige Nordsjo II Phase 1,,1000,Planned,,176650.010216,,POINT (56.7800000002998 4.91999999980021)
windfarms.205,Norway,Sorlige Nordsjo II Phase 2,,1000,Planned,,176650.010216,,POINT (56.7800000002998 4.91999999980021)
windfarms.206,Norway,Sorlige Nordsjo II Phase 3,,1000,Planned,,176650.010216,,POINT (56.7800000002998 4.91999999980021)
windfarms.208,Norway,TwinWay Metcentre,,6,Planned,,9872.90081367,,POINT (59.1399999999001 5.00000000000006)
windfarms.209,Norway,WIN WIN prototype,,6,Planned,,1373.62906742,,POINT (58.9800000003997 5.54000000000002)
windfarms.211,Poland,Baltex 2,,560,Planned,,49142.3511165,,POINT (54.95 16.1900000002998)
windfarms.212,Poland,Baltic Power,,1200,Planned,,28426.9069848,,POINT (55.0499999998002 17.6499999999001)
windfarms.213,Poland,Baltica 1,,900,Planned,,68610.9138281,,POINT (55.5600000003997 17.5299999996004)
windfarms.214,Poland,Baltica 2,,1498,Planned,,38842.0660666,,POINT (55.0700000002998 17.1000000001)
windfarms.215,Poland,Baltica 3,,1045.5,Planned,,33058.5338147,,POINT (55.0599999996003 17.4500000002998)
windfarms.218,Poland,Baltyk II,,720,Planned,,38794.6271237,,POINT (55.0800000001 16.8800000000001)
windfarms.219,Poland,Baltyk III,,720,Planned,,26496.0077552,,POINT (54.9900000001 17.3600000002998)
windfarms.220,Poland,B-Wind,,200,Planned,,25173.2746432,,POINT (55.0599999996003 18.0800000002998)
windfarms.221,Poland,C-Wind,,200,Planned,,27729.0622658,,POINT (55.0800000001 17.9500000001999)
windfarms.222,Poland,FEW Baltic II,,350,Planned,,30662.3392235,,POINT (55.0899999999002 16.6400000002998)
windfarms.223,Poland,Licence Application No. 69,,383,Planned,,34802.1664766,,POINT (55.0499999998002 16.6299999996003)
windfarms.224,Poland,Licence Application No. 71,,1650,Planned,,25016.3342495,,POINT (55.3699999997003 16.8999999996004)
windfarms.225,Poland,Licence Application No. 72,,677,Planned,,33529.3445857,,POINT (54.4299999996003 15.1100000002998)
windfarms.226,Poland,Licence Application No. 73,,800,Planned,,87846.3091781,,POINT (55.6600000001999 17.7899999998002)
windfarms.227,Poland,Licence Application No. 74,,730,Planned,,26035.0105024,,POINT (54.4800000003997 15.8800000001999)
windfarms.229,Poland,Licence Application No. 76,,14,Planned,,26149.8015743,,POINT (54.3699999999001 15.1600000001999)
windfarms.230,Poland,Licence Application No. 77,,27.4,Planned,,28450.7921973,,POINT (54.4000000001999 15.2199999999001)
windfarms.231,Poland,Licence Application No. 78,,173.45,Planned,,36251.3467581,,POINT (54.4900000001999 15.35)
windfarms.232,Poland,Licence Application No. 79,,194,Planned,,32523.7033123,,POINT (54.4699999997003 15.4300000001999)
windfarms.244,Romania,Black Sea 1,,500,Planned,,4083.551254,,POINT (43.8899999998002 28.6700000000001)
windfarms.245,Romania,Black Sea 2,,1400,Planned,,4118.98711884,,POINT (43.9399999997003 28.6899999996003)
windfarms.246,Spain,Alisio Offshore,,49.9,Planned,,3959.87312665,,POINT (27.8199999999001 -15.3800000000999)
windfarms.247,Spain,Alwind,,300,Planned,,4836.63919553,,POINT (36.77 -2.4100000002997)
windfarms.248,Spain,Archime 3,,1.5,Planned,,2138.23459152,,POINT (28.0499999998002 -15.3899999999001)
windfarms.249,Spain,Atlantida,,300,Planned,,9433.52553527,,POINT (27.6499999997003 -15.5600000000999)
windfarms.250,Spain,Cabildo,,49.9,Planned,,5149.76649925,,POINT (27.8299999997002 -15.3499999998001)
windfarms.251,Spain,CanArray,,48,Planned,,5205.56766072,,POINT (27.7799999998002 -15.3899999999001)
windfarms.252,Spain,CanArray II,,132,Planned,,6053.23140904,,POINT (27.7799999998002 -15.3800000000999)
windfarms.253,Spain,Canary Island Test Area,,310,Planned,,20234.4028132,,POINT (28.3400000002998 -15.4499999996003)
windfarms.254,Spain,Canawind 1,,250,Planned,,8533.28390329,,POINT (28.2299999998002 -15.6000000001998)
windfarms.255,Spain,Canawind 2,,250,Planned,,8207.45526464,,POINT (28.22 -15.5699999999)
windfarms.256,Spain,CARDON,,50,Planned,,11214.2259432,,POINT (27.7799999998002 -15.3200000003997)
windfarms.257,Spain,Catwind,,1200,Planned,,20256.4716961,,POINT (42.1299999999001 3.4600000001999)
windfarms.258,Spain,Colombino,,49.9,Planned,,4623.87875076,,POINT (27.8400000003998 -15.3499999998001)
windfarms.259,Spain,DUNAS,,50,Planned,,8376.03133781,,POINT (27.8199999999001 -15.3200000003997)
windfarms.261,Spain,Floating Power Plant - PLOCAN,,8,Approved,,4643.18986358,,POINT (28.0499999998002 -15.3499999998001)
windfarms.263,Spain,FLOTANT,,10,Planned,,54037.3559758,,POINT (28.6500000003998 -15.5900000003996)
windfarms.264,Spain,FOWCA,,225,Planned,,9832.74134715,,POINT (27.8100000001 -15.3099999997002)
windfarms.265,Spain,Galwind,,1000,Planned,,7371.82920609,,POINT (43.1100000001 -9.3500000000999)
windfarms.267,Spain,Gavina,,500,Planned,,16263.4738776,,POINT (42.1500000003998 3.42000000009995)
windfarms.268,Spain,GEROA,,45,Planned,,9344.5299234,,POINT (43.52 -2.87000000009988)
windfarms.269,Spain,GOFIO,,50,Planned,,6469.00233599,,POINT (27.7899999996004 -15.3700000002997)
windfarms.270,Spain,Gran Canaria Este,,144,Planned,,8348.94690498,,POINT (27.7899999996004 -15.3499999998001)
windfarms.271,Spain,Gran Canaria Offshore,,210,Planned,,14009.8180637,,POINT (27.6499999997003 -15.4799999999)
windfarms.273,Spain,GUANCHE,,50,Planned,,7332.08511035,,POINT (27.6700000001999 -15.5600000000999)
windfarms.274,Spain,Lanzarote Este,,50,Planned,,4146.6724628,,POINT (28.9400000000001 -13.4999999999)
windfarms.275,Spain,Mar de Agata,,300,Planned,,9514.41280609,,POINT (36.8699999998002 -1.83999999999997)
windfarms.276,Spain,Marino Maresia,,254,Planned,,9727.83833415,,POINT (27.9099999999002 -15.9200000000999)
windfarms.277,Spain,Medfloat Pilot Parc,,50,Planned,,10028.1853418,,POINT (42.2799999996004 3.42999999990013)
windfarms.278,Spain,MOJO,,50,Planned,,9653.71408409,,POINT (27.8000000002998 -15.3200000003997)
windfarms.279,Spain,Multiplat 2,,10,Planned,,4643.18986358,,POINT (28.0499999998002 -15.3499999998001)
windfarms.281,Spain,Nautilus (ES),,2,Planned,,16461.401011,,POINT (43.5900000003998 -2.84999999960024)
windfarms.282,Spain,Nordes Phase 1,,525,Planned,,56960.2812854,,POINT (44.1300000003998 -8.45000000009986)
windfarms.283,Spain,Nordes Phase 2,,675,Planned,,56960.2812854,,POINT (44.1300000003998 -8.45000000009986)
windfarms.284,Spain,Ocean H2,,6,Planned,,37629.0663263,,POINT (39.2900000000001 0.198000000099967)
windfarms.285,Spain,Pejeverde,,225,Planned,,6000.55056428,,POINT (27.7600000001999 -15.7800000001998)
windfarms.286,Spain,Pivot Buoy - PLOCAN,,0.22,Construction,,2796.1786251,,POINT (28.0499999998002 -15.3800000000999)
windfarms.288,Spain,PLOCAN hybrid floating,,2,Planned,,52946.7910338,,POINT (28.6399999997003 -15.5900000003996)
windfarms.290,Spain,Sahariano,,49.9,Planned,,4137.38450876,,POINT (27.8600000000001 -15.3499999998001)
windfarms.291,Spain,Salinas I,,49.9,Planned,,9791.65992129,,POINT (27.6600000003997 -15.5299999998001)
windfarms.292,Spain,San Augustin I,,49.9,Planned,,9420.23215159,,POINT (27.6800000000001 -15.5100000001998)
windfarms.293,Spain,San Borondón,,238,Planned,,5579.29049203,,POINT (27.8400000003998 -15.34)
windfarms.294,Spain,San Brandan,,490,Planned,,21519.801908,,POINT (43.9500000003998 -7.99000000029974)
windfarms.295,Spain,San Cibrao,,490,Planned,,20072.0387433,,POINT (43.97 -7.67000000039963)
windfarms.296,Spain,Talasa,,50,Planned,,7332.08511035,,POINT (27.6700000001999 -15.5600000000999)
windfarms.297,Spain,Tramuntana,,450,Planned,,15165.2778073,,POINT (42.1899999996003 3.43999999970026)
