FID,country,name,n_turbines,power_mw,status,year,dist_coast,notes,the_geom
windfarms.386,United Kingdom,Llywelyn,,300,Planned,,74172.5634624,,POINT (51.1100000002998 -5.79999999999995)
windfarms.387,United Kingdom,Merlin,,300,Planned,,19856.377489,,POINT (50.6300000000001 -5.30999999990001)
windfarms.388,United Kingdom,Mona,,1500,Planned,,41701.2746417,,POINT (53.7200000002998 -3.9199999998001)
windfarms.389,United Kingdom,Morecambe,,480,Planned,,36214.6594558,,POINT (53.7999999996003 -3.60999999970016)
windfarms.390,United Kingdom,Morgan,,1500,Planned,,33734.4772904,,POINT (54.0000000001 -3.99000000019981)
windfarms.391,United Kingdom,Morwind,,300,Planned,,20544.6885116,,POINT (50.7600000001 -5.0700000001998)
windfarms.392,United Kingdom,Neos,,25,Planned,,208004.42618,,POINT (58.1499999999001 1.53000000009996)
windfarms.393,United Kingdom,North Channel Wind 1,,300,Planned,,10570.3330448,,POINT (55.0400000000001 -5.6600000000999)
windfarms.394,United Kingdom,North Channel Wind 2,,100,Planned,,12367.9192065,,POINT (54.7600000001999 -5.34999999999997)
windfarms.395,United Kingdom,Olympic Wind (GB),,1300,Planned,,2638.98949849,,POINT (54.2700000001 -5.52999999999997)
windfarms.396,United Kingdom,Outer Dowsing,,1500,Planned,,68862.3789932,,POINT (53.5699999997003 1.29000000039974)
windfarms.397,United Kingdom,Petroc,,300,Planned,,53405.1485899,,POINT (50.9400000001 -5.48999999990002)
windfarms.398,United Kingdom,Salamander,,200,Planned,,43137.6005182,,POINT (57.5799999996004 -1.06000000029974)
windfarms.399,United Kingdom,SENSEWind Demonstrator,,2,Planned,,2899.1682417,,POINT (57.1699999997003 -2.02999999980011)
windfarms.400,United Kingdom,Shearwater One,,3000,Planned,,24266.717241,,POINT (55.5700000001999 -6.92000000009989)
windfarms.401,United Kingdom,Trivane Demonstrator,,1,Planned,,2287.98316038,,POINT (51.6200000000001 -4.8500000000999)
windfarms.402,United Kingdom,Valorous,,300,Planned,,47318.6796028,,POINT (51.3599999998002 -5.70999999999998)
windfarms.404,United Kingdom,Whirlwind Offshore,,300,Planned,,144466.200294,,POINT (57.2199999996004 0.580000000199902)
windfarms.405,United Kingdom,Whitecross,,100,Planned,,31697.6422311,,POINT (50.9099999998002 -5.02000000029972)
windfarms.409,Germany,Atlantis I,,613,Planned,,86637.2807213,,POINT (54.2700000001 5.94999999990011)
windfarms.410,Germany,Global Tech II,,486,Planned,,81265.8148906,,POINT (54.2899999997003 6.22999999970028)
windfarms.412,Germany,North Sea Cluster,,210,Planned,,41713.6594114,,POINT (54.0400000001999 6.76999999970025)
windfarms.413,Germany,North Sea Cluster,,225,Planned,,37361.8683914,,POINT (54.0500000000001 7.06000000019992)
windfarms.414,Germany,North Sea Cluster,,400,Planned,,39790.2009727,,POINT (54.0300000003998 6.84000000009996)
windfarms.415,Germany,North Sea Cluster,,433,Planned,,43159.1356983,,POINT (54.0699999996003 6.89000000000004)
windfarms.416,Ireland,Celtic One,,800,Planned,,21928.7593814,,POINT (51.8099999998002 -7.46000000009985)
windfarms.417,Ireland,Helvick Head,,800,Planned,,18322.4778232,,POINT (51.9700000001999 -7.2800000000999)
windfarms.418,Ireland,Loch Garman,,750,Planned,,7505.28452771,,POINT (52.5399999996004 -6.08999999960025)
windfarms.419,Ireland,Sea Stacks,,800,Planned,,11416.6036528,,POINT (53.2700000002998 -5.90999999960025)
windfarms.420,Latvia,Baltic Wind Park Phase 1,,200,Planned,,17203.5038585,,POINT (56.8200000003998 20.7699999996004)
windfarms.421,Latvia,Baltic Wind Park Phase 2,,300,Planned,,17203.5038585,,POINT (56.8200000003998 20.7699999996004)
windfarms.423,Spain,MPS demo - BiMEP,,2.5,Planned,,2730.41347949,,POINT (43.4600000002998 -2.88999999970019)
windfarms.427,United Kingdom,Floating Energy Allyance NE8,,960,Planned,,91724.3964047,,POINT (58.4100000001 -1.22999999960024)
windfarms.428,United Kingdom,Greater Gabbard Extension,,504,Planned,,44503.9932194,,POINT (51.7729999995504 1.98199999970029)
windfarms.429,United Kingdom,Magnora - Technip N3,,495,Planned,,32202.5835924,,POINT (58.8000000003997 -6.35999999960023)
windfarms.430,United Kingdom,Mara Mhor,,798,Planned,,72348.1912786,,POINT (57.4200000001 -0.570000000199798)
