FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.21,Denmark,DK35,Operational,Tyra WC,Fixed steel,Above water production,Mærsk,5504/11,Natural Gas,1499,815,01/01/1984,,41,210002.399704,Wellhead,POINT (55.7154585220001 4.74882820800002)
platforms.22,Denmark,DK32,Operational,Tyra EF,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,700,3100,01/01/1995,,37,206740.728192,"Bridge module, processing",POINT (55.721865275 4.80149486500005)
platforms.23,Denmark,DK14,Operational,Gorm B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,945,01/01/1981,,38,209016.128718,Wellhead,POINT (55.5792035430001 4.75903245400002)
platforms.24,Denmark,DK17,Operational,Gorm E,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1634,3900,01/01/1981,,38,208872.107172,Riser. Owner: DONG OIL PIPE AS,POINT (55.581422305 4.76126469100006)
platforms.25,Denmark,DK13,Operational,Gorm A,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1080,1100,01/01/1981,,38,209000.693624,Wellhead,POINT (55.5797780720001 4.75926358400005)
platforms.26,Denmark,DK19,Operational,Harald A,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,3800,6000,01/01/1997,,64,237473.585834,"Wellhead, processing",POINT (56.3458900150001 4.27347012000007)
platforms.28,Denmark,DK04,Operational,Dan C,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,385,100,01/01/1972,,42,185760.411797,Flare,POINT (55.470314166 5.13570792700006)
platforms.29,Denmark,DK31,Operational,Tyra EE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1628,1415,01/01/1984,,37,206706.056992,Riser,POINT (55.72140734 4.80199569400003)
platforms.30,Denmark,DK09,Operational,Dan FC,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1700,8700,01/01/1987,,43,187492.789332,Process/accommodation,POINT (55.4788828600001 5.10716464300003)
platforms.31,Denmark,DK49,Operational,Halfdan BA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,3050,2500,01/01/2002,,43,191876.243179,"Wellhead, separation",POINT (55.5386635190001 5.03228498300007)
platforms.32,Denmark,DK64,Operational,Syd Arne - wellhead platform E,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2224,1932,01/01/2013,,60,240755.470604,Wellhead platform. Bridge connected to Syd Arne. S./P. = 2224 t /2014 t,POINT (56.0788893660001 4.23231557200006)
platforms.33,Denmark,DK44,Operational,Cecilie,Fixed steel,Above water production,DONG E & P,5604/20,Crude Oil,2000,700,01/01/2003,,60,207166.993093,"Wellhead, satellite to Siri/removable",POINT (56.4027588370001 4.76105833700007)
platforms.34,Denmark,DK46,Operational,Nini B,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,01/01/2010,,60,166737.400503,"Wellhead, satellite to Siri/removable",POINT (56.6753980140001 5.41385881100007)
platforms.35,Denmark,DK16,Operational,Gorm D,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,750,220,01/01/1981,,38,208862.345636,Flare,POINT (55.579714032 4.76145773900004)
platforms.36,Denmark,DK10,Operational,Dan FD,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,491,250,01/01/1987,,43,187465.200133,Flare,POINT (55.4799568920001 5.10747121300005)
platforms.37,Denmark,DK41,Operational,Halfdan DA,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,2800,800,01/01/2000,,43,193494.566726,"Wellhead, processing",POINT (55.5307873950001 5.00715354900007)
platforms.38,Denmark,DK28,Operational,Tyra EB,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1417,838,01/01/1984,,37,206797.527188,Wellhead,POINT (55.720738302 4.80046270200006)
platforms.39,Denmark,DK56,Operational,Halfdan BC,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,2000,3000,01/01/2007,,43,191722.42241,Accommodation,POINT (55.5393504630001 5.03468077300005)
platforms.40,Denmark,DK08,Operational,Dan FB,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1705,2100,01/01/1987,,43,187390.262327,Wellhead,POINT (55.4795683990001 5.10870587100004)
platforms.41,Denmark,DK39,Operational,Tyra EA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,4120,18000,01/01/1984,,37,206641.291755,Process/accommodation,POINT (55.721955999 4.80308995600006)
platforms.42,Denmark,DK07,Operational,Dan FA,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1690,1970,01/01/1987,,43,187314.657244,Wellhead,POINT (55.4804417660001 5.10979825700002)
platforms.43,Denmark,DK63,Operational,Syd Arne - wellhead platform N,Fixed steel,Above water production,Hess Denmark,5604/29,Crude Oil,2333,1762,01/01/2013,,60,241452.867118,Wellhead platform. Satellite to Syd Arne. S./P. = 2333 t /2122 t,POINT (56.09640088 4.22069151900007)
platforms.44,Denmark,DK27,Operational,Svend,Fixed steel,Above water production,Mærsk,5504/25,Crude Oil,1150,575,01/01/1996,,65,243986.721713,Wellhead,POINT (56.1790314150001 4.18076815000006)
platforms.45,Denmark,DK54,Operational,Valdemar BA,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,1400,460,01/01/2007,,42,222249.437004,Wellhead,POINT (55.8047218990001 4.56569932300005)
platforms.46,Denmark,DK38,Operational,Valdemar AA,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,650,450,01/01/1993,,43,222161.273811,Wellhead,POINT (55.83497407 4.56288402000007)
platforms.47,Denmark,DK43,Operational,Nini A,Fixed steel,Above water production,DONG E & P,5605/10,Crude Oil,2000,700,01/01/2003,,60,172096.50984,"Wellhead, satellite to Siri/removable",POINT (56.6414339890001 5.32255386900005)
platforms.48,Denmark,DK42,Operational,Siri,Other,Above water production,DONG E & P,5604/20,Crude Oil,2000,8000,01/01/1999,,60,197256.477949,Steeltank on seabottom/removable,POINT (56.4833258 4.91257990600008)
platforms.49,Denmark,DK22,Operational,Roar,Fixed steel,Above water production,Mærsk,5504/7,Natural Gas,950,550,01/01/1996,,46,216628.168156,"Wellhead, separation",POINT (55.768152958 4.64974598700007)
platforms.50,Denmark,DK48,Operational,Tyra SEA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,880,550,01/01/2002,,38,201160.518757,"Wellhead, separation",POINT (55.6402876160001 4.88404746400005)
platforms.51,Denmark,DK33,Operational,Tyra WA,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1813,9500,01/01/1984,,41,209845.062629,Process/accommodation,POINT (55.717052284 4.75150182000004)
platforms.52,Denmark,DK52,Operational,Dan FG,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,2900,11000,01/01/2005,,43,187322.322885,Process,POINT (55.477052461 5.11009155400006)
platforms.53,Denmark,DK21,Operational,Kraka,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,550,400,01/01/1991,,45,189995.059422,Wellhead,POINT (55.4027201760001 5.07976983400005)
platforms.54,Denmark,DK05,Operational,Dan D,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1050,100,01/01/1972,,42,185811.585156,Wellhead,POINT (55.4694095890001 5.13501636300003)
platforms.55,Denmark,DK37,Operational,Tyra WE,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1000,4000,01/01/1984,,41,209903.968273,"Bridge module, processing",POINT (55.716037779 4.75045668700005)
platforms.57,Denmark,DK03,Operational,Dan B,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1045,1700,01/01/1972,,42,185841.763938,"Separation, accomodation",POINT (55.4697128870001 5.13449784600004)
platforms.58,Denmark,DK02,Operational,Dan A,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,870,100,01/01/1972,,42,185875.382866,Wellhead,POINT (55.4694107810001 5.13400499000005)
platforms.59,Denmark,DK30,Operational,Tyra ED,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,579,220,01/01/1984,,37,206565.731303,Flare,POINT (55.721126763 4.80420048400003)
platforms.60,Denmark,DK01,Closed down,Dagmar,Fixed steel,Above water production,Mærsk,5504/15,Crude Oil,500,532,01/01/1991,,40,217813.764964,"Wellhead, production closed p.t.",POINT (55.577148934 4.61965937800005)
platforms.61,Denmark,DK50,Operational,Halfdan DB,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1000,2200,01/01/2003,,43,193580.921455,Accommodation,POINT (55.5316696020001 5.00572580000005)
platforms.62,Denmark,DK66,Under construction,Hejre A,Fixed steel,Above water production,DONG E & P,5603/28,Crude Oil,8400,17500,01/01/2017,,68,257528.141425,"HPHT. Weights are approximate, excluding 8 piles.",POINT (56.2474384990001 3.96031304800005)
platforms.64,Denmark,DK18,Operational,Gorm F,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,2000,11000,01/01/1991,,38,209052.614707,"Wellhead, processing",POINT (55.5790713310001 4.75845734800004)
platforms.65,Denmark,DK26,Operational,Skjold C,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,830,1200,01/01/1994,,40,199736.037658,Accommodation,POINT (55.5322139020001 4.90818567300005)
platforms.67,Denmark,DK55,Operational,Halfdan BB,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1800,1380,01/01/2008,,43,191829.047622,"Riser, wellhead",POINT (55.5389827020001 5.03301352600005)
platforms.68,Denmark,DK25,Operational,Skjold B,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,545,1100,01/01/1994,,40,199597.462817,"Wellhead, bridge module",POINT (55.5316880840001 4.91041625500003)
platforms.69,Denmark,DK06,Operational,Dan E,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,1100,600,01/01/1977,,42,186812.473345,"Water Injection, no production",POINT (55.481350761 5.11764701400006)
platforms.71,Denmark,DK67,Under construction,Ravn A,Fixed steel,Above water production,Wintershall,5504/1,Crude Oil,1112,678,01/01/2015,,48,241999.036683,"Wellhead, satellite to German A6-A. S./P. = 1112/970 tonnes.",POINT (55.8805849830001 4.23466571600005)
platforms.72,Denmark,DK11,Operational,Dan FE,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,550,1270,01/01/1992,,43,187260.276148,"Wellhead, bridge module",POINT (55.4810040850001 5.11059236700004)
platforms.73,Denmark,DK53,Operational,Valdemar AB,Fixed steel,Above water production,Mærsk,5504/7,Crude Oil,1400,480,01/01/2006,,43,222139.14292,"Wellhead, separation",POINT (55.8344307500001 4.56336678900004)
platforms.74,Denmark,DK20,Operational,Harald B,Fixed steel,Above water production,Mærsk,5604/22,Natural Gas,1700,1300,01/01/1997,,64,237484.934058,Accommodation,POINT (56.344794903 4.27336811300006)
platforms.75,Denmark,DK24,Operational,Skjold A,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,1408,2400,01/01/1982,,40,199640.611906,Wellhead,POINT (55.5314063650001 4.90975183900002)
platforms.76,Denmark,DK34,Operational,Tyra WB,Fixed steel,Above water production,Mærsk,5504/11,Natural Gas,1399,1300,01/01/1984,,41,209939.17602,Wellhead,POINT (55.7163484230001 4.74992836500007)
platforms.77,Denmark,DK36,Operational,Tyra WD,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,673,200,01/01/1984,,41,209754.694985,Flare,POINT (55.716297603 4.75286195000007)
platforms.78,Denmark,DK65,Operational,Tyra SEB,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,2092,1170,01/01/2014,,38,201096.585264,"Wellhead, separation. Weight of 12 piles 1700 tonnes.",POINT (55.6404684460001 4.88506944700003)
platforms.79,Denmark,DK23,Operational,Rolf,Fixed steel,Above water production,Mærsk,5504/14,Crude Oil,1400,1900,01/01/1986,,43,225780.234989,Wellhead,POINT (55.6066614490001 4.49289639500006)
platforms.80,Denmark,DK47,Operational,Syd Arne,Gravity-based concrete,Above water production,Hess Denmark,5604/29,Crude Oil,112800,8955,01/01/1999,,60,240880.241856,Substructure weigth includes sub sea tank,POINT (56.0790141310001 4.23030892700007)
platforms.81,Denmark,DK58,Operational,Halfdan BD,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,3500,9300,01/01/2011,,43,191952.508909,s./p. = 3500/2600,POINT (55.537679407 5.03113642200003)
platforms.82,Denmark,DK57,Operational,Halfdan CA,Fixed steel,Above water production,Mærsk,5505/13,Natural Gas,1100,630,01/01/2008,,45,185275.927478,"Wellhead, separation",POINT (55.5578942510001 5.13589906000004)
platforms.83,Denmark,DK51,Operational,Halfdan DC,Fixed steel,Above water production,Mærsk,5505/13,Crude Oil,1150,500,01/01/2003,,43,193458.129039,Flare,POINT (55.531877385 5.00765702500007)
platforms.85,Denmark,DK12,Operational,Dan FF,Fixed steel,Above water production,Mærsk,5505/17,Crude Oil,3300,14300,01/01/1997,,65,187394.654541,"Wellhead, processing",POINT (55.47794609 5.10883475400004)
platforms.86,Denmark,DK15,Operational,Gorm C,Fixed steel,Above water production,Mærsk,5504/16,Crude Oil,3500,10200,01/01/1981,,38,208946.986201,Process/accommodation,POINT (55.58031377 4.76010249200004)
platforms.87,Denmark,DK29,Operational,Tyra EC,Fixed steel,Above water production,Mærsk,5504/12,Natural Gas,1419,1375,01/01/1984,,37,206860.459713,Wellhead,POINT (55.7198531810001 4.79936100100002)
platforms.88,Germany,DE05,Operational,A6-A,Fixed steel,Above water production,Wintershall,A6,Natural Gas,1191,3366,01/01/2000,,48,258194.61097,,POINT (55.8222220000001 3.98639000000003)
platforms.89,Germany,389761120,Operational,A6-A,Fixed steel,Production,WIN,A6,Natural Gas,1191,3366,01/01/2000,,48,257865.730736,,POINT (55.7913649710001 3.99433374600005)
platforms.90,Germany,DE03,Operational,Mittelplate A,Other,Above water production,RWE-DEA,Coastal Waters,Crude Oil,75400,4500,01/01/1987,,2,3074.93777951,"Artificial island; weight substructure incl, 72000 t sand",POINT (54.025833 8.73111000000006)
platforms.95,Ireland,IE2,Operational,Kinsale Head Alpha,Fixed steel,Above water production,PSE Kinsale Energy,Block 49/16,Natural Gas,5000,3000,01/01/1978,,92,45021.9059494,,POINT (51.3608090000001 -8.01548999999994)
platforms.97,Ireland,IE3,Operational,Kinsale Head Bravo,Fixed steel,Above water storage and production,PSE Kinsale Energy,Block 48/20,Natural Gas,5000,3000,01/01/1978,,93,47250.9502611,,POINT (51.37082 -7.94493599999993)
platforms.240,Netherlands,118117622,Operational,PE-F15-PA,Fixed steel,Production,TOTAL,F15-A-01,Natural Gas,700,2050,01/01/1993,,45,94615.0723262,P.I.,POINT (54.216277549 4.82845972600006)
platforms.244,Netherlands,118117643,Operational,K06-DN,Fixed steel,Production,TOTAL,K06-DN-01,Natural Gas,500,900,01/01/1992,,38.2,89246.5246585,,POINT (53.7264453440001 3.80577625000006)
platforms.245,Netherlands,118117713,Operational,K12-G,Fixed steel,Production,NEPTUNE,K,Natural Gas,675,900,01/01/2001,,26,58647.8137795,Wellhead,POINT (53.3559980640001 3.98366339800003)
platforms.246,Netherlands,118117647,Operational,L04-A,Fixed steel,Production,TOTAL,L04-01,Natural Gas,1042,2050,01/01/1982,,39.5,75060.3851785,,POINT (53.7254001590001 4.09899382300006)
platforms.249,Netherlands,118117651,Operational,L7-PB,Fixed steel,Production,TOTAL,L07-B-01,Natural Gas,700,1300,01/01/1977,,34.7,60753.8246049,,POINT (53.6089754660001 4.20678803600003)
platforms.256,Netherlands,118117763,Operational,L15-FA-1,Fixed steel,Production,NEPTUNE,L,Natural Gas,900,2500,01/01/2009,,26,10596.3067148,,POINT (53.330308632 4.83213789300004)
platforms.257,Netherlands,118117723,Operational,L10-D (verwijderd),Fixed steel,Production,NEPTUNE,L,Natural Gas,505,550,01/01/1977,,26.5,47134.6160564,Production stopped 01-01-2016,POINT (53.409177126 4.21498032300002)
platforms.259,Netherlands,118117752,Operational,K15-FB-1,Fixed steel,Production,NAM,K15-FB-1,Natural Gas,10245,50681,01/01/1978,,25,61433.8142616,,POINT (53.276515653 3.87305185900004)
platforms.262,Netherlands,118118126,Operational,D12-A,Fixed steel,Production,WIN,D12,Natural Gas,1081,479,01/01/2005,,40,180761.469338,"New production platform installed (Source: SodM, 2004, p. 53 MEA 2004, p. 27)",POINT (54.3430528580001 2.86582595200002)
platforms.264,Netherlands,118117772,Operational,P18-A,Fixed steel,Production,TAQA OFF,P18-02,Natural Gas,510,850,01/01/1993,,26,16847.2800432,,POINT (52.127835572 3.93931448000006)
platforms.269,Netherlands,160376961,Decommissioned,P02-SE (verwijderd),Fixed steel,Production,WIN,P02-07-S2,Natural Gas,1200,1100,01/01/1998,,29,81980.920525,Re-used as P6-D,POINT (52.89590001 3.44113133200005)
platforms.273,Netherlands,135046824,Operational,G14-A,Fixed steel,Production,NEPTUNE,G,Natural Gas,920,725,01/01/2006,,39.5,85270.6638887,"Re-use of re-furbished K11-B installation installed in 2005 (Source SodM, 2005 MEA 2005, p. 28)",POINT (54.2247255440001 5.50000653600006)
platforms.277,Netherlands,135046828,Operational,G16a-A,Fixed steel,Production,NEPTUNE,G,Natural Gas,930,660,01/01/2006,,41.1,78215.8554479,"Re-use of adjusted K12-E installation installed in 2005  (Source SodM, 2005 MEA 2005, p. 28)",POINT (54.1263354060001 5.20355140000004)
platforms.278,Netherlands,118117654,Operational,PE-L7-PN,Fixed steel,Production,TOTAL,L07-N-01-S1,Natural Gas,382,513,01/01/1988,,32,59471.0856976,,POINT (53.5728078910001 4.17668715000002)
platforms.285,Netherlands,118117639,Operational,K5-D,Fixed steel,Production,TOTAL,K05-D-01,Natural Gas,500,900,01/01/1994,,39,104418.96349,,POINT (53.6916665700001 3.48861269700006)
platforms.287,Netherlands,118117649,Operational,L04-PN,Fixed steel,Production,TOTAL,L01-04,Natural Gas,550,710,01/01/1999,,40.6,85478.0100635,,POINT (53.82416907 4.05138359900008)
platforms.288,Netherlands,118117699,Operational,Q04-B,Fixed steel,Production,WIN,Q4,Natural Gas,1004,1254,01/01/2002,,23,22629.3724795,,POINT (52.717441792 4.30124029500007)
platforms.290,Netherlands,199564493,Decommissioned,K12-E (verwijderd),Fixed steel,Production,GDFP,K12-E-01,Natural Gas,580,660,01/01/1986,,29.5,63366.6586599,"Topside removed in 2005 (Source SodM 2005, p. 62 MEA 2005, p. 28)",POINT (53.475115535 3.99699290600006)
platforms.293,Netherlands,118117641,Operational,PE-K6-PC,Fixed steel,Production,TOTAL,K06-C-01,Natural Gas,456,1480,01/01/1992,,39.5,84019.3295606,,POINT (53.699180782 3.87046061800004)
platforms.294,Netherlands,118117769,Operational,P15-G,Fixed steel,Production,TAQA OFF,P15-G-01-S1,Natural Gas,307,927,01/01/1993,,25,32801.9365411,,POINT (52.223353312 3.74085970900006)
platforms.295,Netherlands,118117751,Operational,K15-FA-1,Fixed steel,Production,NAM,K15-FA-1,Natural Gas,18200,43367,01/01/1976,,25,53157.6632326,,POINT (53.247962387 3.98762802700003)
platforms.300,Netherlands,118117689,Operational,L08-P4,Fixed steel,Production,WIN,L8,Natural Gas,2397,3275,01/01/2001,,35.4,51007.6949111,"P.I. (production, compression, accommodation)",POINT (53.661384943 4.54083179600002)
platforms.301,Netherlands,118117758,Operational,L9-FF-1W,Fixed steel,Production,NAM,L09-10,Natural Gas,270,500,01/01/1998,,24,29573.7412826,,POINT (53.6154487250001 4.96169195900006)
platforms.304,Netherlands,118117767,Closed down,P15-E,Fixed steel,Production,TAQA OFF,P15-E-01-S1,Natural Gas,282,876,01/01/1993,,22,23368.1563856,,POINT (52.1725627530001 3.86913210500006)
platforms.305,Netherlands,118117633,Operational,PE-K1-PA,Fixed steel,Production,TOTAL,J03-02,Natural Gas,1000,800,01/01/2002,,51.2,136235.645075,,POINT (53.8439752470001 3.07960776100003)
platforms.306,Netherlands,118117694,Operational,P06-D,Fixed steel,Production,WIN,P6,Natural Gas,1004,1254,01/01/2001,,24.5,61027.594907,Former P2-SE,POINT (52.701309963 3.72669960200005)
platforms.312,Netherlands,118117720,Operational,L10-AD,Fixed steel,Production,NEPTUNE,L,Natural Gas,1130,3385,01/01/1971,,27,47644.4307451,"P.I. (production, compression, accommodation), former D15-FA-1",POINT (53.404332293 4.20252290800005)
platforms.313,Netherlands,118117728,Operational,L10-M,Fixed steel,Production,NEPTUNE,L,Natural Gas,565,600,01/01/2000,,26,58657.7502067,Wellhead,POINT (53.405942806 4.02400019200007)
platforms.314,Netherlands,118117692,Operational,P06-A,Fixed steel,Production,WIN,P6,Natural Gas,1780,4730,01/01/1983,,27,59591.1977285,"P.I. (production, compression, accommodation)",POINT (52.7560442440001 3.75751101500003)
platforms.317,Netherlands,199564475,Decommissioned,K10-V (verwijderd),Fixed steel,Production,WIN,K10-V-01,Natural Gas,510,657,01/01/1993,,31.5,107608.533538,"Platform removed in 2005 (Source: SodM 2005, p. 62 MEA 2005, p. 28)",POINT (53.484056255 3.26621240400004)
platforms.318,Netherlands,1103471992,Operational,L10-EE,Fixed steel,Production,NEPTUNE,L10-B-01,Natural Gas,335,195,01/01/1984,,26.5,47070.3564813,Wellhead,POINT (53.4325020030001 4.23703431200005)
platforms.321,Netherlands,584124630,Operational,PE-K4-BE,Fixed steel,Production,TOTAL,K04-10-S2,Natural Gas,700,800,01/01/2001,,45.6,125274.097941,,POINT (53.7658977500001 3.19657181600007)
platforms.323,Netherlands,118117748,Operational,K08-FA-3,Fixed steel,Production,NAM,K8-FA-3,Natural Gas,19400,45600,01/01/1984,,35,101224.513184,,POINT (53.542179483 3.42355709500004)
platforms.324,Netherlands,684553979,Operational,PE-K6-PP,Fixed steel,Production,TOTAL,K06-C-01,Natural Gas,468,1720,01/01/1992,,39.5,84019.3295606,P.I. bridge C-P 105,POINT (53.699180782 3.87046061800004)
platforms.325,Netherlands,118117638,Operational,PE-K5-PB,Fixed steel,Production,TOTAL,K05-B-01,Natural Gas,654,673,01/01/1995,,40.3,109141.794897,,POINT (53.7148252480001 3.42851675600002)
platforms.326,Netherlands,389761105,Operational,L09-FB-1,Other,Production,NAM,L9-FB-1,Natural Gas,9000,5000,01/01/2008,,24,28423.0733328,Monotower,POINT (53.567133595 4.87165645100004)
platforms.327,Netherlands,118117685,Operational,L08-Alpha,Fixed steel,Production,WIN,L8,Natural Gas,380,660,01/01/1989,,26.5,47520.4896037,,POINT (53.584384808 4.47227126500007)
platforms.328,Netherlands,199560198,Decommissioned,L10-K (verwijderd),Fixed steel,Production,GDFP,L10-10,Natural Gas,565,600,01/01/2000,,25,49084.2392517,Reused,POINT (53.494004723 4.27044844200003)
platforms.329,Netherlands,1103472017,Operational,L7-PK,Fixed steel,Production,TOTAL,L07-C-01-S1,Natural Gas,320,810,01/01/1982,,27.5,55794.0534642,Compression,POINT (53.5387592700001 4.20100263500007)
platforms.330,Netherlands,118117724,Operational,L10-E,Fixed steel,Production,NEPTUNE,L,Natural Gas,555,550,01/01/1977,,26.5,47070.3564813,Wellhead,POINT (53.4325020030001 4.23703431200005)
platforms.331,Netherlands,1103456604,Operational,G17d-AP,Fixed steel,Production,NEPTUNE,G,Natural Gas,1050,2300,01/01/2006,,38.7,66650.6684732,"Gastreatment platform + compression installed in 2005 (Source SodM 2005, p. 61 MEA 2005, p. 28)",POINT (54.0496955310001 5.43976888000003)
platforms.332,Netherlands,118117756,Operational,L02-FA-1,Fixed steel,Production,NAM,L2-FA-1,Natural Gas,10755,44292,01/01/1990,,40,78597.6457515,,POINT (53.961384304 4.49771934400007)
platforms.335,Netherlands,118117745,Operational,K07-FD-1,Fixed steel,Production,NAM,K7-FD-1,Natural Gas,5000,9000,01/01/1999,,30,110780.983889,,POINT (53.5502799550001 3.26724662600003)
platforms.336,Netherlands,1103472028,Operational,L9-FF-1P,Fixed steel,Production,NAM,L09-10,Natural Gas,1000,1000,01/01/1998,,24,29573.7412826,,POINT (53.6154487250001 4.96169195900006)
platforms.338,Netherlands,118117761,Operational,L13-FE-1,Fixed steel,Production,NAM,L13-FE-1,Natural Gas,7117,9550,01/01/1989,,26,41170.7399327,,POINT (53.313892432 4.24807186800007)
platforms.339,Netherlands,118117708,Operational,G17d-A,Fixed steel,Production,NEPTUNE,G,Natural Gas,1050,1310,01/01/2002,,38.7,66650.6684732,,POINT (54.0496955310001 5.43976888000003)
platforms.345,Netherlands,1103472020,Operational,L7-P,Fixed steel,Production,TOTAL,L07-C-01-S1,Natural Gas,914,4285,01/01/1977,,27.5,55794.0534642,"Bridge Q-C 83, bridge Q-P 112,bridge P-PK 15",POINT (53.5387592700001 4.20100263500007)
platforms.347,Netherlands,160499861,Operational,K14-FA-1C,Fixed steel,Production,NAM,K14-08,Natural Gas,1600,5000,01/01/1985,,26.7,76083.0183395,"Compression, accommodation",POINT (53.2695018420001 3.62775703000005)
platforms.349,Netherlands,118117693,Operational,P06-B,Fixed steel,Production,WIN,P6,Natural Gas,555,400,01/01/1985,,29.3,56204.5951603,,POINT (52.738165204 3.80505544200003)
platforms.353,Netherlands,389761216,Decommissioned,K13-D (verwijderd),Fixed steel,Production,WIN,K13-DE-03,,440,600,01/01/1988,,26,102335.723687,Removed,POINT (53.28151747 3.21256451100004)
platforms.354,Netherlands,118117768,Closed down,P15-F,Fixed steel,Production,TAQA OFF,P15-F-01,Natural Gas,310,873,01/01/1993,,27,42565.7518429,,POINT (52.30677266 3.68622510200004)
platforms.356,Netherlands,118117747,Operational,K08-FA-2,Fixed steel,Production,NAM,K8-FA-2,Natural Gas,19400,23654,01/01/1977,,35,100078.499984,,POINT (53.51530252 3.41896095400006)
platforms.359,Netherlands,1090626124,Operational,L10-AP,Fixed steel,Production,NEPTUNE,L,Natural Gas,860,2905,01/01/1974,,27,47644.4307451,,POINT (53.404332293 4.20252290800005)
platforms.360,Netherlands,118117687,Operational,L08-Hotel,Fixed steel,Production,WIN,L8,Natural Gas,380,660,01/01/1988,,26.5,41733.5839131,,POINT (53.564667978 4.56804117600007)
platforms.362,Netherlands,118117701,Decommissioned,CP-Q8-A (verwijderd),Fixed steel,Production,WIN,Q04-09-S1,Natural Gas,120,290,01/01/1986,,14,5670.06012624,,POINT (52.5955432700001 4.53058180300008)
platforms.363,Netherlands,118117709,Decommissioned,K12-A (verwijderd),Fixed steel,Production,GDFP,K12-02,Natural Gas,580,630,01/01/1983,,29.5,76074.7878603,Wellhead,POINT (53.4767525060001 3.78872825800005)
platforms.366,Netherlands,118117780,Operational,Ameland-Oost-2,Fixed steel,Production,NAM,AME,Natural Gas,9411,9840,01/01/1983,,7,2058.79829708,,POINT (53.484192928 5.86821904600004)
platforms.367,Netherlands,118117634,Operational,PE-K4-PA,Fixed steel,Production,TOTAL,K04-A-01,Natural Gas,630,673,01/01/1998,,37.5,117870.372434,,POINT (53.751014087 3.31101017400005)
platforms.368,Netherlands,118117695,Decommissioned,P06-South (verwijderd),Fixed steel,Production,WIN,P06-D-01,Natural Gas,1004,1330,01/01/1997,,24.5,56977.6960539,,POINT (52.680491407 3.78290187900006)
platforms.371,Netherlands,159901585,Operational,K17-FA-1,Fixed steel,Production,NAM,K17,Natural Gas,5000,9000,01/01/2005,,20,75571.6763878,Monotower,POINT (53.0636768690001 3.53874854900005)
platforms.372,Netherlands,118117754,Operational,K15-FG-1,Fixed steel,Production,NAM,K15-FG-1,Natural Gas,8102,7464,01/01/1990,,25,58139.8785639,,POINT (53.3061090100001 3.94818017800003)
platforms.373,Netherlands,118117642,Operational,K06-D,Fixed steel,Production,TOTAL,K06-D-01,Natural Gas,455,716,01/01/1992,,39,84551.8281524,,POINT (53.6757235480001 3.82960392300004)
platforms.379,Netherlands,1103471988,Operational,L10-BB,Fixed steel,Production,NEPTUNE,L10-B-01,Natural Gas,290,195,01/01/1980,,26.5,48742.7092381,Wellhead,POINT (53.457629668 4.23323127400005)
