FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.1447,United Kingdom,830b5751-c219-4d70-a2ec-b9c68534,Under construction,JASMINE JLQ,PLATFORM,JASMINE LIVING QUARTERS PLATFORM,CHRYSAOR HOLDINGS,,,,,17/07/2012,,,255198.409263,Asset transfer from ConocoPhillips to Chrysaor October 2019 | TOPSIDES TO BE INSTALLED 2013,POINT (56.7236089630001 2.20439613200006)
platforms.1448,United Kingdom,30fb3b7a-0ebb-48c5-984b-1a28f8fa,Operational,OFF BOTNEY GROUND,BUOY,OFF BOTNEY GROUND,ROYAL DUTCH SHELL,,,,,02/07/2007,,,103569.285292,Marks southern end of protection zone around Caravel and Shamrock Platforms,POINT (53.3516666960001 2.84550000000007)
platforms.1450,United Kingdom,4bb90fc7-1697-4a2d-89cd-a6465e2e,Operational,BERYL SPM-2,SBM,SPM-2,APACHE CORPORATION,,,,,,,,157908.494343,,POINT (59.5537228740001 1.56116111700004)
platforms.1451,United Kingdom,378759d5-ee36-4348-908c-8cf8b401,Operational,SOUTH MORECAMBE DP3,PLATFORM,REMOTE DRILLING PLATFORM,SPIRIT ENERGY,,,,,,,,33200.9431221,,POINT (53.8158637670001 -3.56157797899994)
platforms.1452,United Kingdom,f3725b3a-1c44-4944-ac56-2775113b,Operational,BERYL SPM-3,SBM,SPM-3,APACHE CORPORATION,,,,,,,,158766.57447,,POINT (59.5330327460001 1.55838872000004)
platforms.1453,United Kingdom,297cc795-613d-4a39-9683-c567b4e0,Operational,SEAN RD,PLATFORM,SEAN RD REMOTE PLATFORM,ONE-DYAS,,,,,10/06/1986,,,94093.4616465,,POINT (53.2253976060001 2.82623238100007)
platforms.1454,United Kingdom,0dccee4c-973e-4f92-88bc-82bd31be,Operational,LEMAN BT (PERENCO),PLATFORM,TERMINAL / RISER STEEL,PERENCO OIL & GAS,,,,,,,,53447.9219234,,POINT (53.051289506 2.28496108300004)
platforms.1455,United Kingdom,2f8fb310-e672-48ff-bb2c-683dc6ef,Operational,HASTINGS WAVERIDER BUOY KFB25/2012 AREA3,BUOY,HASTINGS WAVERIDER BUOY KFB25/2012 AREA3,CEFAS,,,,,01/08/2012,,,15245.8139723,OCEANOGRAPHIC EQUIPMENT FITTED WITH A YELLOW LIGHT EXHIBITING THE SEQUENCE FL Y (5) 20S,POINT (50.7468345950001 0.75419041300006)
platforms.1456,United Kingdom,dfdc623d-8dd1-4ddd-b56f-dfd97fd8,Operational,ROSS,FPSO,FPSO BLEOHOLM BLUEWATER,REPSOL SINOPEC RESOURCES,,,,,,,,55386.8000336,,POINT (58.1009071660001 -1.43990924599996)
platforms.1457,United Kingdom,85276f8b-fdd8-4059-afeb-407302c2,Operational,GALLEON PN,PLATFORM,GALLEON PN,ROYAL DUTCH SHELL,,,,,01/01/1990,,,71419.5147889,Convergence 1.542º True more than Grid,POINT (53.461962134 1.91719683300005)
platforms.1458,United Kingdom,5595b6c1-182f-4460-a318-b8c9233f,Closed down,BRENT B,PLATFORM,BRENT B,ROYAL DUTCH SHELL,,,,,01/09/1975,,,136581.39426,Platform Topsides Removed 18th June 2019 by Pioneering Spirit. GBS cells and legs remain in situ.,POINT (61.0553358770001 1.71136897800005)
platforms.1459,United Kingdom,94530e03-bc09-4801-8bf0-63203a14,Operational,HARDING OLS BUOY,BUOY,HARDING OFFLOADING BUOY,TAQA EUROPA B.V.,,,,,,,,172053.517003,,POINT (59.2764368140001 1.55051929000007)
platforms.1460,United Kingdom,2fd1b2b4-6aff-4dba-a76f-82443aa1,Operational,CAPTAIN WPPA,PLATFORM,WELLHEAD DRILLING & ACCOMMODATION STEEL,ITHACA ENERGY,,,,,,,,69158.906995,,POINT (58.3068254510001 -1.76991454399996)
platforms.1461,United Kingdom,ce2a5379-46b9-45c0-8de9-a9a3abfa,Operational,INDE BD,PLATFORM,DRILLING & ACCOMMODATION STEEL,PERENCO OIL & GAS,,,,,,,,90760.2816783,,POINT (53.3913269970001 2.52309009700002)
platforms.1462,United Kingdom,10660efd-37da-4b9a-9f6c-2dc02c6a,Closed down,AMETHYST C1D,PLATFORM,WELLHEAD STEEL,PERENCO OIL & GAS,,,,,,,,30409.7976603,,POINT (53.6449318620001 0.602338662000022)
